availability_id,technician_id,date,shift,availability,dataset_version
AVL-000036,TEC-001,,Full Day,Busy,v1.0.0
AVL-000037,TEC-001,2024-07-11,Full Day,Busy,v1.0.0
AVL-000038,TEC-001,2024-07-12,Full Day,Available,v1.0.0
AVL-000039,TEC-001,2024-07-13,Full Day,Available,v1.0.0
AVL-000040,TEC-001,2024-07-14,,Available,v1.0.0
AVL-000041,TEC-001,2024-07-15,Full Day,Available,v1.0.0
AVL-000042,TEC-001,2024-07-16,Full Day,Available,v1.0.0
AVL-000043,TEC-001,2024-07-17,Full Day,Leave,v1.0.0
AVL-000044,TEC-001,2024-07-18,Full Day,Leave,v1.0.0
AVL-000045,TEC-001,2024-07-19,Full Day,Busy,v1.0.0
AVL-000046,TEC-001,2024-07-20,Full Day,Available,v1.0.0
AVL-000047,TEC-001,2024-07-21,Full Day,Available,v1.0.0
AVL-000048,TEC-001,,Full Day,Available,v1.0.0
AVL-000049,TEC-001,2024-07-23,Full Day,Available,v1.0.0
AVL-000050,TEC-001,2024-07-24,Full Day,Busy,v1.0.0
AVL-000051,TEC-001,2024-07-25,Full Day,Available,v1.0.0
AVL-000052,TEC-001,2024-07-26,Full Day,Available,v1.0.0
AVL-000053,TEC-001,2024-07-27,Full Day,Available,v1.0.0
AVL-000054,TEC-001,,Full Day,Available,v1.0.0
AVL-000055,TEC-001,2024-07-29,Full Day,Leave,v1.0.0
AVL-000056,TEC-001,2024-07-30,Full Day,Available,v1.0.0
AVL-000057,TEC-001,2024-07-31,Full Day,Busy,v1.0.0
AVL-000058,TEC-001,2024-08-01,Full Day,Available,v1.0.0
AVL-000059,TEC-001,2024-08-02,Full Day,Available,v1.0.0
AVL-000060,TEC-001,2024-08-03,Full Day,Available,v1.0.0
AVL-000061,TEC-001,2024-08-04,Full Day,Available,v1.0.0
AVL-000062,TEC-001,2024-08-05,Full Day,Available,v1.0.0
AVL-000063,TEC-001,2024-08-06,Full Day,Available,v1.0.0
AVL-000064,TEC-001,2024-08-07,Full Day,Busy,v1.0.0
AVL-000065,TEC-001,2024-08-08,Full Day,Available,v1.0.0
AVL-000066,TEC-001,2024-08-09,Full Day,Available,v1.0.0
AVL-000067,TEC-001,2024-08-10,Full Day,Available,v1.0.0
AVL-000068,TEC-001,2024-08-11,Full Day,Available,v1.0.0
AVL-000069,TEC-001,2024-08-12,Full Day,Available,v1.0.0
AVL-000070,TEC-001,2024-08-13,Full Day,Available,v1.0.0
AVL-000071,TEC-001,,Full Day,Leave,v1.0.0
AVL-000072,TEC-001,2024-08-15,Full Day,Available,v1.0.0
AVL-000073,TEC-001,2024-08-16,Full Day,Available,v1.0.0
AVL-000074,TEC-001,2024-08-17,Full Day,Available,v1.0.0
AVL-000075,TEC-001,2024-08-18,Full Day,Available,v1.0.0
AVL-000076,TEC-001,2024-08-19,Full Day,Leave,v1.0.0
AVL-000077,TEC-001,2024-08-20,Full Day,Available,v1.0.0
AVL-000078,TEC-001,2024-08-21,Full Day,Leave,v1.0.0
AVL-000079,TEC-001,2024-08-22,Full Day,Available,v1.0.0
AVL-000080,TEC-001,2024-08-23,Full Day,Available,v1.0.0
AVL-000081,TEC-001,2024-08-24,Full Day,Busy,v1.0.0
AVL-000082,TEC-001,2024-08-25,Full Day,Available,v1.0.0
AVL-000083,TEC-001,,Full Day,Available,v1.0.0
AVL-000084,TEC-001,2024-08-27,Full Day,Leave,v1.0.0
AVL-000085,TEC-001,2024-08-28,Full Day,Available,v1.0.0
AVL-000086,TEC-001,2024-08-29,Full Day,Available,v1.0.0
AVL-000087,TEC-001,2024-08-30,Full Day,Available,v1.0.0
AVL-000088,TEC-001,2024-08-31,Full Day,Available,v1.0.0
AVL-000089,TEC-001,2024-09-01,Full Day,Available,v1.0.0
AVL-000090,TEC-001,2024-09-02,Full Day,Available,v1.0.0
AVL-000091,TEC-001,2024-09-03,Full Day,Available,v1.0.0
AVL-000092,TEC-001,2024-09-04,Full Day,Leave,v1.0.0
AVL-000093,TEC-001,2024-09-05,,Busy,v1.0.0
AVL-000094,TEC-001,2024-09-06,Full Day,Available,v1.0.0
AVL-000095,TEC-001,2024-09-07,Full Day,Busy,v1.0.0
AVL-000096,TEC-001,2024-09-08,Full Day,Available,v1.0.0
AVL-000097,TEC-001,2024-09-09,Full Day,Available,v1.0.0
AVL-000098,TEC-001,2024-09-10,Full Day,Available,v1.0.0
AVL-000099,TEC-001,2024-09-11,Full Day,Available,v1.0.0
AVL-000100,TEC-001,2024-09-12,Full Day,Available,v1.0.0
AVL-000101,TEC-001,2024-09-13,Full Day,Busy,v1.0.0
AVL-000102,TEC-001,2024-09-14,Full Day,Available,v1.0.0
AVL-000103,TEC-001,2024-09-15,Full Day,Available,v1.0.0
AVL-000104,TEC-001,2024-09-16,Full Day,Available,v1.0.0
AVL-000105,TEC-001,2024-09-17,,Available,v1.0.0
AVL-000106,TEC-001,2024-09-18,Full Day,Busy,v1.0.0
AVL-000107,TEC-001,2024-09-19,Full Day,Available,v1.0.0
AVL-000108,TEC-001,2024-09-20,Full Day,Leave,v1.0.0
AVL-000109,TEC-001,2024-09-21,Full Day,Leave,v1.0.0
AVL-000110,TEC-001,2024-09-22,Full Day,Available,v1.0.0
AVL-000111,TEC-001,2024-09-23,Full Day,Available,v1.0.0
AVL-000112,TEC-001,2024-09-24,Full Day,Busy,v1.0.0
AVL-000113,TEC-001,2024-09-25,Full Day,Available,v1.0.0
AVL-000114,TEC-001,2024-09-26,Full Day,Available,v1.0.0
AVL-000115,TEC-001,2024-09-27,Full Day,Available,v1.0.0
AVL-000116,TEC-001,,Full Day,Available,v1.0.0
AVL-000117,TEC-001,2024-09-29,Full Day,Busy,v1.0.0
AVL-000118,TEC-001,2024-09-30,Full Day,Available,v1.0.0
AVL-000119,TEC-001,2024-10-01,Full Day,Available,v1.0.0
AVL-000120,TEC-001,2024-10-02,Full Day,Available,v1.0.0
AVL-000121,TEC-001,2024-10-03,Full Day,Busy,v1.0.0
AVL-000122,TEC-001,2024-10-04,Full Day,Available,v1.0.0
AVL-000123,TEC-001,2024-10-05,Full Day,Busy,v1.0.0
AVL-000124,TEC-001,2024-10-06,,Available,v1.0.0
AVL-000125,TEC-001,2024-10-07,Full Day,Available,v1.0.0
AVL-000126,TEC-001,2024-10-08,Full Day,Busy,v1.0.0
AVL-000127,TEC-001,2024-10-09,Full Day,Busy,v1.0.0
AVL-000128,TEC-001,2024-10-10,Full Day,Available,v1.0.0
AVL-000129,TEC-001,2024-10-11,Full Day,Available,v1.0.0
AVL-000130,TEC-001,2024-10-12,Full Day,Available,v1.0.0
AVL-000131,TEC-001,2024-10-13,Full Day,Available,v1.0.0
AVL-000132,TEC-001,2024-10-14,Full Day,Available,v1.0.0
AVL-000133,TEC-001,2024-10-15,Full Day,Available,v1.0.0
AVL-000134,TEC-001,2024-10-16,Full Day,Leave,v1.0.0
AVL-000135,TEC-001,2024-10-17,Full Day,Available,v1.0.0
AVL-000136,TEC-001,2024-10-18,Full Day,Available,v1.0.0
AVL-000137,TEC-001,2024-10-19,Full Day,Available,v1.0.0
AVL-000138,TEC-001,2024-10-20,Full Day,Leave,v1.0.0
AVL-000139,TEC-001,,,Available,v1.0.0
AVL-000140,TEC-001,2024-10-22,Full Day,Available,v1.0.0
AVL-000141,TEC-001,2024-10-23,Full Day,Busy,v1.0.0
AVL-000142,TEC-001,2024-10-24,Full Day,Available,v1.0.0
AVL-000143,TEC-001,2024-10-25,Full Day,Available,v1.0.0
AVL-000144,TEC-001,2024-10-26,Full Day,Available,v1.0.0
AVL-000145,TEC-001,2024-10-27,Full Day,Available,v1.0.0
AVL-000146,TEC-001,2024-10-28,Full Day,Available,v1.0.0
AVL-000147,TEC-001,2024-10-29,,Available,v1.0.0
AVL-000148,TEC-001,2024-10-30,Full Day,Available,v1.0.0
AVL-000149,TEC-001,2024-10-31,Full Day,Busy,v1.0.0
AVL-000150,TEC-001,2024-11-01,Full Day,Available,v1.0.0
AVL-000151,TEC-001,2024-11-02,,Available,v1.0.0
AVL-000152,TEC-001,2024-11-03,Full Day,Available,v1.0.0
AVL-000153,TEC-001,2024-11-04,Full Day,Leave,v1.0.0
AVL-000154,TEC-001,2024-11-05,Full Day,Available,v1.0.0
AVL-000155,TEC-001,2024-11-06,Full Day,Available,v1.0.0
AVL-000156,TEC-001,2024-11-07,Full Day,Leave,v1.0.0
AVL-000157,TEC-001,2024-11-08,Full Day,Busy,v1.0.0
AVL-000158,TEC-001,2024-11-09,Full Day,Available,v1.0.0
AVL-000159,TEC-001,2024-11-10,Full Day,Leave,v1.0.0
AVL-000160,TEC-001,2024-11-11,Full Day,Available,v1.0.0
AVL-000161,TEC-001,2024-11-12,,Available,v1.0.0
AVL-000162,TEC-001,2024-11-13,Full Day,Available,v1.0.0
AVL-000163,TEC-001,2024-11-14,Full Day,Available,v1.0.0
AVL-000164,TEC-001,2024-11-15,,Available,v1.0.0
AVL-000165,TEC-001,2024-11-16,Full Day,Busy,v1.0.0
AVL-000166,TEC-001,2024-11-17,Full Day,Leave,v1.0.0
AVL-000167,TEC-001,2024-11-18,Full Day,Available,v1.0.0
AVL-000168,TEC-001,2024-11-19,,Busy,v1.0.0
AVL-000169,TEC-001,2024-11-20,,Available,v1.0.0
AVL-000170,TEC-001,2024-11-21,Full Day,Busy,v1.0.0
AVL-000171,TEC-001,2024-11-22,Full Day,Available,v1.0.0
AVL-000172,TEC-001,2024-11-23,Full Day,Available,v1.0.0
AVL-000173,TEC-001,2024-11-24,Full Day,Available,v1.0.0
AVL-000174,TEC-001,2024-11-25,Full Day,Leave,v1.0.0
AVL-000175,TEC-001,2024-11-26,Full Day,Available,v1.0.0
AVL-000176,TEC-001,,Full Day,Busy,v1.0.0
AVL-000177,TEC-001,2024-11-28,Full Day,Available,v1.0.0
AVL-000178,TEC-001,2024-11-29,Full Day,Available,v1.0.0
AVL-000179,TEC-001,2024-11-30,Full Day,Available,v1.0.0
AVL-000180,TEC-001,2024-12-01,Full Day,Available,v1.0.0
AVL-000181,TEC-001,2024-12-02,Full Day,Available,v1.0.0
AVL-000182,TEC-001,2024-12-03,Full Day,Available,v1.0.0
AVL-000183,TEC-001,2024-12-04,Full Day,Available,v1.0.0
AVL-000184,TEC-001,2024-12-05,Full Day,Leave,v1.0.0
AVL-000185,TEC-001,2024-12-06,Full Day,Busy,v1.0.0
AVL-000186,TEC-001,2024-12-07,Full Day,Leave,v1.0.0
AVL-000187,TEC-001,2024-12-08,Full Day,Leave,v1.0.0
AVL-000188,TEC-001,2024-12-09,Full Day,Available,v1.0.0
AVL-000189,TEC-001,,Full Day,Available,v1.0.0
AVL-000190,TEC-001,2024-12-11,Full Day,Available,v1.0.0
AVL-000191,TEC-001,,Full Day,Available,v1.0.0
AVL-000192,TEC-001,2024-12-13,Full Day,Leave,v1.0.0
AVL-000193,TEC-001,2024-12-14,Full Day,Available,v1.0.0
AVL-000194,TEC-001,2024-12-15,Full Day,Available,v1.0.0
AVL-000195,TEC-001,2024-12-16,Full Day,Busy,v1.0.0
AVL-000196,TEC-001,2024-12-17,Full Day,Leave,v1.0.0
AVL-000197,TEC-001,2024-12-18,Full Day,Available,v1.0.0
AVL-000198,TEC-001,2024-12-19,Full Day,Available,v1.0.0
AVL-000199,TEC-001,2024-12-20,Full Day,Available,v1.0.0
AVL-000200,TEC-001,2024-12-21,Full Day,Available,v1.0.0
AVL-000201,TEC-001,2024-12-22,Full Day,Busy,v1.0.0
AVL-000202,TEC-001,2024-12-23,Full Day,Available,v1.0.0
AVL-000203,TEC-001,2024-12-24,Full Day,Available,v1.0.0
AVL-000204,TEC-001,2024-12-25,Full Day,Leave,v1.0.0
AVL-000205,TEC-001,,Full Day,Available,v1.0.0
AVL-000206,TEC-001,2024-12-27,Full Day,Available,v1.0.0
AVL-000207,TEC-001,2024-12-28,Full Day,Available,v1.0.0
AVL-000208,TEC-001,2024-12-29,Full Day,Busy,v1.0.0
AVL-000209,TEC-001,2024-12-30,Full Day,Available,v1.0.0
AVL-000210,TEC-001,2024-12-31,Full Day,Available,v1.0.0
AVL-000211,TEC-001,2025-01-01,Full Day,Available,v1.0.0
AVL-000212,TEC-001,2025-01-02,Full Day,Available,v1.0.0
AVL-000213,TEC-001,2025-01-03,Full Day,Available,v1.0.0
AVL-000214,TEC-001,2025-01-04,,Available,v1.0.0
AVL-000215,TEC-001,2025-01-05,Full Day,Available,v1.0.0
AVL-000216,TEC-001,2025-01-06,Full Day,Leave,v1.0.0
AVL-000217,TEC-001,2025-01-07,Full Day,Available,v1.0.0
AVL-000218,TEC-001,2025-01-08,Full Day,Available,v1.0.0
AVL-000219,TEC-001,2025-01-09,Full Day,Busy,v1.0.0
AVL-000220,TEC-001,2025-01-10,Full Day,Leave,v1.0.0
AVL-000221,TEC-001,2025-01-11,Full Day,Available,v1.0.0
AVL-000222,TEC-001,2025-01-12,Full Day,Available,v1.0.0
AVL-000223,TEC-001,2025-01-13,Full Day,Busy,v1.0.0
AVL-000224,TEC-001,2025-01-14,Full Day,Busy,v1.0.0
AVL-000225,TEC-001,2025-01-15,Full Day,Available,v1.0.0
AVL-000226,TEC-001,2025-01-16,Full Day,Available,v1.0.0
AVL-000227,TEC-001,2025-01-17,Full Day,Available,v1.0.0
AVL-000228,TEC-001,2025-01-18,Full Day,Available,v1.0.0
AVL-000229,TEC-001,,Full Day,Available,v1.0.0
AVL-000230,TEC-001,2025-01-20,Full Day,Available,v1.0.0
AVL-000231,TEC-001,2025-01-21,Full Day,Available,v1.0.0
AVL-000232,TEC-001,2025-01-22,Full Day,Available,v1.0.0
AVL-000233,TEC-001,,Full Day,Leave,v1.0.0
AVL-000234,TEC-001,2025-01-24,Full Day,Available,v1.0.0
AVL-000235,TEC-001,2025-01-25,Full Day,Available,v1.0.0
AVL-000236,TEC-001,2025-01-26,Full Day,Available,v1.0.0
AVL-000237,TEC-001,2025-01-27,Full Day,Available,v1.0.0
AVL-000238,TEC-001,2025-01-28,Full Day,Leave,v1.0.0
AVL-000239,TEC-001,2025-01-29,Full Day,Available,v1.0.0
AVL-000240,TEC-001,2025-01-30,,Available,v1.0.0
AVL-000241,TEC-001,2025-01-31,Full Day,Available,v1.0.0
AVL-000242,TEC-001,2025-02-01,Full Day,Available,v1.0.0
AVL-000243,TEC-001,2025-02-02,Full Day,Available,v1.0.0
AVL-000244,TEC-001,,Full Day,Busy,v1.0.0
AVL-000245,TEC-001,2025-02-04,Full Day,Leave,v1.0.0
AVL-000246,TEC-001,2025-02-05,Full Day,Available,v1.0.0
AVL-000247,TEC-001,2025-02-06,Full Day,Leave,v1.0.0
AVL-000248,TEC-001,2025-02-07,Full Day,Available,v1.0.0
AVL-000249,TEC-001,2025-02-08,Full Day,Available,v1.0.0
AVL-000250,TEC-001,2025-02-09,Full Day,Busy,v1.0.0
AVL-000251,TEC-001,2025-02-10,Full Day,Available,v1.0.0
AVL-000252,TEC-001,2025-02-11,Full Day,Busy,v1.0.0
AVL-000253,TEC-001,2025-02-12,Full Day,Available,v1.0.0
AVL-000254,TEC-001,2025-02-13,Full Day,Available,v1.0.0
AVL-000255,TEC-001,2025-02-14,Full Day,Available,v1.0.0
AVL-000256,TEC-001,2025-02-15,Full Day,Busy,v1.0.0
AVL-000257,TEC-001,,Full Day,Available,v1.0.0
AVL-000258,TEC-001,2025-02-17,Full Day,Available,v1.0.0
AVL-000259,TEC-001,2025-02-18,Full Day,Available,v1.0.0
AVL-000260,TEC-001,2025-02-19,Full Day,Busy,v1.0.0
AVL-000261,TEC-001,2025-02-20,Full Day,Busy,v1.0.0
AVL-000262,TEC-001,2025-02-21,Full Day,Available,v1.0.0
AVL-000263,TEC-001,2025-02-22,Full Day,Available,v1.0.0
AVL-000264,TEC-001,2025-02-23,Full Day,Available,v1.0.0
AVL-000265,TEC-001,2025-02-24,Full Day,Available,v1.0.0
AVL-000266,TEC-001,2025-02-25,Full Day,Available,v1.0.0
AVL-000267,TEC-001,2025-02-26,Full Day,Available,v1.0.0
AVL-000268,TEC-001,2025-02-27,Full Day,Available,v1.0.0
AVL-000269,TEC-001,2025-02-28,Full Day,Available,v1.0.0
AVL-000270,TEC-001,2025-03-01,Full Day,Available,v1.0.0
AVL-000271,TEC-001,2025-03-02,Full Day,Available,v1.0.0
AVL-000272,TEC-001,2025-03-03,Full Day,Busy,v1.0.0
AVL-000273,TEC-001,2025-03-04,Full Day,Available,v1.0.0
AVL-000274,TEC-001,2025-03-05,Full Day,Available,v1.0.0
AVL-000275,TEC-001,2025-03-06,Full Day,Available,v1.0.0
AVL-000276,TEC-001,2025-03-07,Full Day,Busy,v1.0.0
AVL-000277,TEC-001,2025-03-08,Full Day,Available,v1.0.0
AVL-000278,TEC-001,2025-03-09,Full Day,Busy,v1.0.0
AVL-000279,TEC-001,2025-03-10,Full Day,Available,v1.0.0
AVL-000280,TEC-001,2025-03-11,Full Day,Available,v1.0.0
AVL-000281,TEC-001,2025-03-12,Full Day,Available,v1.0.0
AVL-000282,TEC-001,2025-03-13,Full Day,Available,v1.0.0
AVL-000283,TEC-001,2025-03-14,Full Day,Available,v1.0.0
AVL-000284,TEC-001,2025-03-15,Full Day,Available,v1.0.0
AVL-000285,TEC-001,2025-03-16,,Available,v1.0.0
AVL-000286,TEC-001,2025-03-17,Full Day,Leave,v1.0.0
AVL-000287,TEC-001,2025-03-18,Full Day,Available,v1.0.0
AVL-000288,TEC-001,2025-03-19,Full Day,Available,v1.0.0
AVL-000289,TEC-001,2025-03-20,Full Day,Available,v1.0.0
AVL-000290,TEC-001,,Full Day,Available,v1.0.0
AVL-000291,TEC-001,2025-03-22,Full Day,Available,v1.0.0
AVL-000292,TEC-001,2025-03-23,Full Day,Leave,v1.0.0
AVL-000293,TEC-001,2025-03-24,Full Day,Busy,v1.0.0
AVL-000294,TEC-001,2025-03-25,Full Day,Available,v1.0.0
AVL-000295,TEC-001,2025-03-26,Full Day,Available,v1.0.0
AVL-000296,TEC-001,2025-03-27,Full Day,Available,v1.0.0
AVL-000297,TEC-001,2025-03-28,Full Day,Busy,v1.0.0
AVL-000298,TEC-001,2025-03-29,Full Day,Busy,v1.0.0
AVL-000299,TEC-001,2025-03-30,Full Day,Available,v1.0.0
AVL-000300,TEC-001,2025-03-31,Full Day,Available,v1.0.0
AVL-000301,TEC-001,2025-04-01,Full Day,Busy,v1.0.0
AVL-000302,TEC-001,2025-04-02,Full Day,Available,v1.0.0
AVL-000303,TEC-001,2025-04-03,Full Day,Available,v1.0.0
AVL-000304,TEC-001,2025-04-04,Full Day,Busy,v1.0.0
AVL-000305,TEC-001,2025-04-05,,Leave,v1.0.0
AVL-000306,TEC-001,2025-04-06,Full Day,Available,v1.0.0
AVL-000307,TEC-001,2025-04-07,Full Day,Available,v1.0.0
AVL-000308,TEC-001,2025-04-08,Full Day,Available,v1.0.0
AVL-000309,TEC-001,2025-04-09,Full Day,Available,v1.0.0
AVL-000310,TEC-001,2025-04-10,Full Day,Leave,v1.0.0
AVL-000311,TEC-001,2025-04-11,Full Day,Available,v1.0.0
AVL-000312,TEC-001,2025-04-12,Full Day,Available,v1.0.0
AVL-000313,TEC-001,2025-04-13,Full Day,Available,v1.0.0
AVL-000314,TEC-001,2025-04-14,Full Day,Available,v1.0.0
AVL-000315,TEC-001,2025-04-15,,Available,v1.0.0
AVL-000316,TEC-001,2025-04-16,Full Day,Busy,v1.0.0
AVL-000317,TEC-001,2025-04-17,Full Day,Available,v1.0.0
AVL-000318,TEC-001,2025-04-18,Full Day,Available,v1.0.0
AVL-000319,TEC-001,2025-04-19,Full Day,Available,v1.0.0
AVL-000320,TEC-001,2025-04-20,Full Day,Available,v1.0.0
AVL-000321,TEC-001,2025-04-21,Full Day,Busy,v1.0.0
AVL-000322,TEC-001,2025-04-22,Full Day,Available,v1.0.0
AVL-000323,TEC-001,2025-04-23,Full Day,Available,v1.0.0
AVL-000324,TEC-001,2025-04-24,Full Day,Available,v1.0.0
AVL-000325,TEC-001,2025-04-25,Full Day,Available,v1.0.0
AVL-000326,TEC-001,2025-04-26,Full Day,Available,v1.0.0
AVL-000327,TEC-001,2025-04-27,Full Day,Leave,v1.0.0
AVL-000328,TEC-001,2025-04-28,Full Day,Available,v1.0.0
AVL-000329,TEC-001,2025-04-29,Full Day,Available,v1.0.0
AVL-000330,TEC-001,2025-04-30,Full Day,Available,v1.0.0
AVL-000331,TEC-001,2025-05-01,Full Day,Available,v1.0.0
AVL-000332,TEC-001,2025-05-02,Full Day,Busy,v1.0.0
AVL-000333,TEC-001,2025-05-03,Full Day,Available,v1.0.0
AVL-000334,TEC-001,2025-05-04,Full Day,Available,v1.0.0
AVL-000335,TEC-001,2025-05-05,Full Day,Busy,v1.0.0
AVL-000336,TEC-001,2025-05-06,Full Day,Available,v1.0.0
AVL-000337,TEC-001,2025-05-07,Full Day,Available,v1.0.0
AVL-000338,TEC-001,2025-05-08,Full Day,Leave,v1.0.0
AVL-000339,TEC-001,2025-05-09,Full Day,Busy,v1.0.0
AVL-000340,TEC-001,2025-05-10,Full Day,Available,v1.0.0
AVL-000341,TEC-001,2025-05-11,Full Day,Available,v1.0.0
AVL-000342,TEC-001,,Full Day,Leave,v1.0.0
AVL-000343,TEC-001,2025-05-13,Full Day,Available,v1.0.0
AVL-000344,TEC-001,2025-05-14,Full Day,Available,v1.0.0
AVL-000345,TEC-001,2025-05-15,Full Day,Leave,v1.0.0
AVL-000346,TEC-001,2025-05-16,Full Day,Busy,v1.0.0
AVL-000347,TEC-001,2025-05-17,Full Day,Available,v1.0.0
AVL-000348,TEC-001,2025-05-18,Full Day,Leave,v1.0.0
AVL-000349,TEC-001,2025-05-19,Full Day,Available,v1.0.0
AVL-000350,TEC-001,2025-05-20,Full Day,Available,v1.0.0
AVL-000351,TEC-001,2025-05-21,Full Day,Available,v1.0.0
AVL-000352,TEC-001,2025-05-22,Full Day,Available,v1.0.0
AVL-000353,TEC-001,2025-05-23,Full Day,Available,v1.0.0
AVL-000354,TEC-001,2025-05-24,Full Day,Busy,v1.0.0
AVL-000355,TEC-001,2025-05-25,Full Day,Available,v1.0.0
AVL-000356,TEC-001,2025-05-26,Full Day,Available,v1.0.0
AVL-000357,TEC-001,2025-05-27,Full Day,Leave,v1.0.0
AVL-000358,TEC-001,2025-05-28,Full Day,Busy,v1.0.0
AVL-000359,TEC-001,2025-05-29,Full Day,Available,v1.0.0
AVL-000360,TEC-001,2025-05-30,Full Day,Busy,v1.0.0
AVL-000361,TEC-001,2025-05-31,Full Day,Available,v1.0.0
AVL-000362,TEC-001,2025-06-01,Full Day,Available,v1.0.0
AVL-000363,TEC-001,2025-06-02,Full Day,Available,v1.0.0
AVL-000364,TEC-001,,Full Day,Available,v1.0.0
AVL-000365,TEC-001,2025-06-04,Full Day,Available,v1.0.0
AVL-000366,TEC-001,2025-06-05,Full Day,Leave,v1.0.0
AVL-000367,TEC-001,2025-06-06,Full Day,Leave,v1.0.0
AVL-000368,TEC-001,2025-06-07,Full Day,Leave,v1.0.0
AVL-000369,TEC-001,2025-06-08,Full Day,Busy,v1.0.0
AVL-000370,TEC-001,2025-06-09,Full Day,Leave,v1.0.0
AVL-000371,TEC-001,2025-06-10,Full Day,Leave,v1.0.0
AVL-000372,TEC-001,2025-06-11,Full Day,Available,v1.0.0
AVL-000373,TEC-001,2025-06-12,Full Day,Available,v1.0.0
AVL-000374,TEC-001,2025-06-13,Full Day,Leave,v1.0.0
AVL-000375,TEC-001,2025-06-14,Full Day,Available,v1.0.0
AVL-000376,TEC-001,2025-06-15,Full Day,Leave,v1.0.0
AVL-000377,TEC-001,2025-06-16,Full Day,Available,v1.0.0
AVL-000378,TEC-001,2025-06-17,Full Day,Available,v1.0.0
AVL-000379,TEC-001,2025-06-18,Full Day,Available,v1.0.0
AVL-000380,TEC-001,2025-06-19,Full Day,Available,v1.0.0
AVL-000381,TEC-001,2025-06-20,Full Day,Available,v1.0.0
AVL-000382,TEC-001,2025-06-21,Full Day,Available,v1.0.0
AVL-000383,TEC-001,2025-06-22,Full Day,Available,v1.0.0
AVL-000384,TEC-001,2025-06-23,Full Day,Busy,v1.0.0
AVL-000385,TEC-001,2025-06-24,Full Day,Available,v1.0.0
AVL-000386,TEC-001,2025-06-25,Full Day,Available,v1.0.0
AVL-000387,TEC-001,2025-06-26,Full Day,Available,v1.0.0
AVL-000388,TEC-001,2025-06-27,Full Day,Available,v1.0.0
AVL-000389,TEC-001,2025-06-28,Full Day,Available,v1.0.0
AVL-000390,TEC-001,2025-06-29,Full Day,Leave,v1.0.0
AVL-000391,TEC-001,2025-06-30,Full Day,Busy,v1.0.0
AVL-000392,TEC-001,2025-07-01,Full Day,Busy,v1.0.0
AVL-000393,TEC-001,2025-07-02,Full Day,Available,v1.0.0
AVL-000394,TEC-001,2025-07-03,Full Day,Busy,v1.0.0
AVL-000395,TEC-001,2025-07-04,Full Day,Available,v1.0.0
AVL-000396,TEC-001,2025-07-05,Full Day,Available,v1.0.0
AVL-000397,TEC-001,2025-07-06,Full Day,Available,v1.0.0
AVL-000398,TEC-001,2025-07-07,Full Day,Available,v1.0.0
AVL-000399,TEC-001,2025-07-08,Full Day,Leave,v1.0.0
AVL-000400,TEC-001,2025-07-09,Full Day,Available,v1.0.0
