failure_id,asset_id,failure_date,failure_type,downtime_hours,dataset_version
FLR-000119,AST-00128,2018-12-01,Electrical,168.11,v1.0.0
FLR-000120,AST-00348,2017-09-04,Mechanical,61.73,v1.0.0
FLR-000121,AST-00271,2021-02-02,,58.66,v1.0.0
FLR-000122,AST-00054,2018-06-06,Mechanical,17.13,v1.0.0
FLR-000123,AST-00375,2023-10-27,Electrical,185.62,v1.0.0
FLR-000124,AST-00208,2018-11-13,Wear & Tear,143.64,v1.0.0
FLR-000125,AST-00186,2026-02-08,Mechanical,88.02,v1.0.0
FLR-000126,AST-00012,2018-12-28,Software,58.83,v1.0.0
FLR-000127,AST-00415,2023-03-29,,33.32,v1.0.0
FLR-000128,AST-00075,,Wear & Tear,159.76,v1.0.0
FLR-000129,AST-00357,2025-07-03,Mechanical,30.51,v1.0.0
FLR-000130,AST-00193,2011-01-29,Electrical,134.14,v1.0.0
FLR-000131,AST-00255,2016-04-28,Wear & Tear,101.33,v1.0.0
FLR-000132,AST-00109,2025-04-14,Software,60.97,v1.0.0
FLR-000133,AST-00041,2026-01-01,Wear & Tear,131.14,v1.0.0
FLR-000134,AST-00036,2015-10-13,Wear & Tear,134.12,v1.0.0
FLR-000135,AST-00321,2011-06-14,Wear & Tear,38.78,v1.0.0
FLR-000136,AST-00060,2025-02-11,Mechanical,87.01,v1.0.0
FLR-000137,AST-00099,2025-06-11,Mechanical,261.56,v1.0.0
FLR-000138,AST-00333,2017-09-10,Electrical,213.64,v1.0.0
FLR-000139,AST-00262,2013-09-21,Electrical,83.43,v1.0.0
FLR-000140,AST-00375,2013-05-27,Electrical,66.7,v1.0.0
FLR-000141,AST-00265,2011-06-12,Mechanical,299.46,v1.0.0
FLR-000142,AST-00018,2023-12-16,Mechanical,125.51,v1.0.0
FLR-000143,AST-00254,2024-12-28,Mechanical,318.78,v1.0.0
FLR-000144,AST-00427,2019-08-04,Electrical,273.16,v1.0.0
FLR-000145,AST-00207,2025-08-02,Software,174.17,v1.0.0
FLR-000146,AST-00153,2010-06-27,Electrical,78.02,v1.0.0
FLR-000147,AST-00374,2011-04-01,Mechanical,57.57,v1.0.0
FLR-000148,AST-00089,2022-12-17,Mechanical,133.91,v1.0.0
FLR-000149,AST-00075,2022-05-13,,15.62,v1.0.0
FLR-000150,AST-00235,2020-05-20,Mechanical,121.87,v1.0.0
FLR-000151,AST-00074,2019-04-05,Wear & Tear,189.14,v1.0.0
FLR-000152,AST-00084,2026-02-20,Wear & Tear,147.74,v1.0.0
FLR-000153,AST-00249,2018-12-06,Mechanical,85.28,v1.0.0
FLR-000154,AST-00452,2020-02-12,Electrical,185.34,v1.0.0
FLR-000155,AST-00355,2025-10-09,,34.33,v1.0.0
FLR-000156,AST-00024,2019-08-30,Mechanical,245.91,v1.0.0
FLR-000157,AST-00191,2024-10-29,Software,200.95,v1.0.0
FLR-000158,AST-00158,,Mechanical,52.18,v1.0.0
FLR-000159,AST-00349,2022-05-15,Wear & Tear,8.77,v1.0.0
FLR-000160,AST-00315,2021-10-14,Mechanical,169.68,v1.0.0
FLR-000161,AST-00337,2025-02-02,Wear & Tear,173.77,v1.0.0
FLR-000162,AST-00259,2010-07-26,Software,209.44,v1.0.0
FLR-000163,AST-00290,2014-02-20,Mechanical,234.54,v1.0.0
FLR-000164,AST-00183,2022-10-22,Mechanical,95.68,v1.0.0
FLR-000165,AST-00401,2021-05-08,Wear & Tear,117.76,v1.0.0
FLR-000166,AST-00116,2016-08-28,Wear & Tear,305.21,v1.0.0
FLR-000167,AST-00266,2023-10-30,Wear & Tear,88.62,v1.0.0
FLR-000168,AST-00053,2024-12-05,Mechanical,6.02,v1.0.0
FLR-000169,AST-00047,2024-02-01,Software,35.66,v1.0.0
FLR-000170,AST-00399,2025-11-30,Mechanical,15.76,v1.0.0
FLR-000171,AST-00373,2022-11-15,Mechanical,132.46,v1.0.0
FLR-000172,AST-00020,2026-03-24,Electrical,159.74,v1.0.0
FLR-000173,AST-00242,2018-06-30,Mechanical,65.26,v1.0.0
FLR-000174,AST-00092,2021-07-09,Software,96.43,v1.0.0
FLR-000175,AST-00281,2019-07-04,Mechanical,165.64,v1.0.0
FLR-000176,AST-00067,2018-09-25,Wear & Tear,66.52,v1.0.0
FLR-000177,AST-00473,2020-05-19,Electrical,279.56,v1.0.0
FLR-000178,AST-00382,2022-04-23,Software,233.48,v1.0.0
FLR-000179,AST-00349,2009-10-30,Electrical,185.12,v1.0.0
FLR-000180,AST-00210,2024-01-14,Electrical,88.63,v1.0.0
FLR-000181,AST-00218,2024-07-14,Mechanical,72.82,v1.0.0
FLR-000182,AST-00019,2024-05-14,Mechanical,314.59,v1.0.0
FLR-000183,AST-00475,2023-04-09,Software,79.53,v1.0.0
FLR-000184,AST-00097,2020-04-09,Wear & Tear,88.94,v1.0.0
FLR-000185,AST-00461,2018-11-11,Wear & Tear,93.1,v1.0.0
FLR-000186,AST-00480,2026-01-10,Wear & Tear,60.35,v1.0.0
FLR-000187,AST-00496,2020-06-19,Mechanical,44.96,v1.0.0
FLR-000188,AST-00291,2023-01-26,Electrical,198.74,v1.0.0
FLR-000189,AST-00047,2024-11-27,Mechanical,148.59,v1.0.0
FLR-000190,AST-00259,2016-03-08,Wear & Tear,115.25,v1.0.0
FLR-000191,AST-00303,2017-05-13,Mechanical,178.8,v1.0.0
FLR-000192,AST-00005,2011-03-11,Wear & Tear,270.5,v1.0.0
FLR-000193,AST-00180,2024-03-23,,108.46,v1.0.0
FLR-000194,AST-00012,2023-09-28,Software,147.65,v1.0.0
FLR-000195,AST-00119,2025-02-25,Software,30.91,v1.0.0
FLR-000196,AST-00366,2021-07-19,Electrical,271.27,v1.0.0
FLR-000197,AST-00118,2015-05-11,Mechanical,30.05,v1.0.0
FLR-000198,AST-00320,2024-04-08,Mechanical,143.1,v1.0.0
FLR-000199,AST-00209,2021-09-05,Electrical,89.21,v1.0.0
FLR-000200,AST-00352,2010-11-28,Mechanical,127.49,v1.0.0
FLR-000201,AST-00063,2024-08-06,Wear & Tear,104.02,v1.0.0
FLR-000202,AST-00168,2013-09-24,Software,102.96,v1.0.0
FLR-000203,AST-00075,2021-08-21,Wear & Tear,35.44,v1.0.0
FLR-000204,AST-00088,2018-12-25,Software,134.37,v1.0.0
FLR-000205,AST-00323,2023-12-01,Software,9.7,v1.0.0
FLR-000206,AST-00011,2024-02-19,Wear & Tear,256.04,v1.0.0
FLR-000207,AST-00223,2015-08-31,Software,222.94,v1.0.0
FLR-000208,AST-00419,2010-12-03,Electrical,101.41,v1.0.0
FLR-000209,AST-00168,2017-02-06,Electrical,61.19,v1.0.0
FLR-000210,AST-00283,2020-03-21,Wear & Tear,204.47,v1.0.0
FLR-000211,AST-00362,2022-12-29,Mechanical,131.38,v1.0.0
FLR-000212,AST-00005,2018-01-03,Wear & Tear,131.83,v1.0.0
FLR-000213,AST-00325,2025-07-09,Software,251.06,v1.0.0
FLR-000214,AST-00220,2025-08-27,Electrical,218.41,v1.0.0
FLR-000215,AST-00456,2025-06-16,Mechanical,175.22,v1.0.0
FLR-000216,AST-00243,2025-03-08,Software,135.84,v1.0.0
FLR-000217,AST-00325,2024-02-25,Electrical,163.89,v1.0.0
FLR-000218,AST-00118,2015-03-27,Mechanical,177.75,v1.0.0
FLR-000219,AST-00414,2014-02-22,Software,58.26,v1.0.0
FLR-000220,AST-00001,2024-12-16,Electrical,55.13,v1.0.0
FLR-000221,AST-00476,2010-12-03,Electrical,245.48,v1.0.0
FLR-000222,AST-00371,2022-09-22,Electrical,124.88,v1.0.0
FLR-000223,AST-00181,2026-03-17,Electrical,65.28,v1.0.0
FLR-000224,AST-00113,2018-05-21,Mechanical,85.73,v1.0.0
FLR-000225,AST-00317,2022-03-08,Mechanical,63.97,v1.0.0
FLR-000226,AST-00360,2022-04-21,Electrical,144.1,v1.0.0
FLR-000227,AST-00201,2018-09-17,Mechanical,8.1,v1.0.0
FLR-000228,AST-00396,2018-06-13,Software,4.7,v1.0.0
FLR-000229,AST-00426,2025-12-06,Mechanical,103.05,v1.0.0
FLR-000230,AST-00119,2022-04-04,Software,91.58,v1.0.0
FLR-000231,AST-00050,2015-02-01,Software,156.57,v1.0.0
FLR-000232,AST-00055,2025-02-18,Software,151.24,v1.0.0
FLR-000233,AST-00067,2015-03-12,Mechanical,204.82,v1.0.0
FLR-000234,AST-00071,2021-11-17,Mechanical,54.1,v1.0.0
FLR-000235,AST-00444,2007-08-28,Electrical,33.51,v1.0.0
FLR-000236,AST-00261,2025-02-12,Mechanical,53.37,v1.0.0
FLR-000237,AST-00267,2022-02-08,Mechanical,19.49,v1.0.0
FLR-000238,AST-00200,2024-08-11,Electrical,77.96,v1.0.0
FLR-000239,AST-00412,2015-09-12,Software,,v1.0.0
FLR-000240,AST-00436,2026-04-16,Electrical,69.08,v1.0.0
FLR-000241,AST-00179,2013-01-03,Electrical,,v1.0.0
FLR-000242,AST-00429,2025-02-19,Wear & Tear,9.66,v1.0.0
FLR-000243,AST-00029,2015-10-26,Wear & Tear,28.05,v1.0.0
FLR-000244,AST-00328,2024-07-04,Mechanical,73.79,v1.0.0
FLR-000245,AST-00496,2021-03-01,Mechanical,179.72,v1.0.0
FLR-000246,AST-00338,2022-04-29,Mechanical,108.1,v1.0.0
FLR-000247,AST-00278,2022-07-30,Software,66.87,v1.0.0
FLR-000248,AST-00452,,Software,247.3,v1.0.0
FLR-000249,AST-00237,2021-10-19,,32.03,v1.0.0
FLR-000250,AST-00430,2020-12-20,Wear & Tear,130.85,v1.0.0
FLR-000251,AST-00363,2025-06-27,Wear & Tear,124.12,v1.0.0
FLR-000252,AST-00030,2025-03-04,Software,208.78,v1.0.0
FLR-000253,AST-00341,2022-07-24,Electrical,166.62,v1.0.0
FLR-000254,AST-00233,2016-01-11,Software,332.07,v1.0.0
FLR-000255,AST-00263,2024-11-22,Software,28.91,v1.0.0
FLR-000256,AST-00422,2024-05-25,Software,205.99,v1.0.0
FLR-000257,AST-00359,2020-06-03,Software,218.66,v1.0.0
FLR-000258,AST-00304,2020-09-25,Wear & Tear,147.58,v1.0.0
FLR-000259,AST-00070,2023-12-07,Mechanical,159.92,v1.0.0
FLR-000260,AST-00110,2014-05-25,Software,68.47,v1.0.0
FLR-000261,AST-00157,2014-11-05,Wear & Tear,230.82,v1.0.0
FLR-000262,AST-00058,2021-05-31,Wear & Tear,106.49,v1.0.0
FLR-000263,AST-00073,2019-09-22,Wear & Tear,27.2,v1.0.0
FLR-000264,AST-00027,2017-01-14,Software,19.81,v1.0.0
FLR-000265,AST-00349,2011-12-19,Software,104.46,v1.0.0
FLR-000266,AST-00367,2017-01-21,Mechanical,196.14,v1.0.0
FLR-000267,AST-00110,2025-11-15,Electrical,38.67,v1.0.0
FLR-000268,AST-00480,2025-11-15,Wear & Tear,107.11,v1.0.0
FLR-000269,AST-00165,2012-06-06,Electrical,,v1.0.0
FLR-000270,AST-00029,2020-12-15,Wear & Tear,221.37,v1.0.0
FLR-000271,AST-00236,2019-05-02,Wear & Tear,113.33,v1.0.0
FLR-000272,AST-00036,2015-02-21,Electrical,33.31,v1.0.0
FLR-000273,AST-00229,2022-09-08,Wear & Tear,89.9,v1.0.0
FLR-000274,AST-00444,2014-08-13,Software,197.27,v1.0.0
FLR-000275,AST-00145,2023-08-21,Electrical,43.74,v1.0.0
FLR-000276,AST-00048,2023-03-08,Wear & Tear,41.9,v1.0.0
FLR-000277,AST-00463,,Electrical,202.08,v1.0.0
FLR-000278,AST-00234,2024-08-21,Mechanical,197.2,v1.0.0
FLR-000279,AST-00311,2008-10-20,Mechanical,26.76,v1.0.0
FLR-000280,AST-00387,2023-12-05,Software,51.01,v1.0.0
FLR-000281,AST-00128,2023-03-15,Mechanical,211.83,v1.0.0
FLR-000282,AST-00206,2017-12-22,Wear & Tear,200.28,v1.0.0
FLR-000283,AST-00143,2023-09-18,Software,82.42,v1.0.0
FLR-000284,AST-00409,2015-01-25,Electrical,,v1.0.0
FLR-000285,AST-00052,2009-09-27,Mechanical,323.02,v1.0.0
FLR-000286,AST-00019,2025-10-08,Wear & Tear,210.81,v1.0.0
FLR-000287,AST-00117,,Electrical,115.52,v1.0.0
FLR-000288,AST-00425,2016-03-26,Electrical,54.57,v1.0.0
FLR-000289,AST-00285,2023-11-25,,,v1.0.0
FLR-000290,AST-00449,2026-03-23,Wear & Tear,131.42,v1.0.0
FLR-000291,AST-00316,2022-07-12,Mechanical,141.78,v1.0.0
FLR-000292,AST-00326,,Mechanical,58.71,v1.0.0
FLR-000293,AST-00004,2012-03-28,Electrical,217.99,v1.0.0
FLR-000294,AST-00379,2022-09-03,Wear & Tear,194.94,v1.0.0
FLR-000295,AST-00198,2025-10-28,Wear & Tear,23.94,v1.0.0
FLR-000296,AST-00421,2018-09-05,Electrical,290.17,v1.0.0
FLR-000297,AST-00399,2025-11-22,Mechanical,,v1.0.0
FLR-000298,AST-00475,2026-03-26,Electrical,70.13,v1.0.0
FLR-000299,AST-00004,2011-05-03,Electrical,34.99,v1.0.0
FLR-000300,AST-00241,2019-05-30,Wear & Tear,294.48,v1.0.0
FLR-000301,AST-00026,2025-03-05,Wear & Tear,77.3,v1.0.0
FLR-000302,AST-00017,2025-07-22,Electrical,54.19,v1.0.0
FLR-000303,AST-00290,2024-10-16,Mechanical,107.48,v1.0.0
FLR-000304,AST-00082,2018-10-03,Mechanical,164.27,v1.0.0
FLR-000305,AST-00116,2015-01-11,Software,42.7,v1.0.0
FLR-000306,AST-00141,2025-03-01,Mechanical,23.05,v1.0.0
FLR-000307,AST-00479,2023-01-24,Mechanical,83.95,v1.0.0
FLR-000308,AST-00005,2017-03-12,Wear & Tear,205.59,v1.0.0
FLR-000309,AST-00308,2024-06-05,Mechanical,,v1.0.0
FLR-000310,AST-00268,2023-12-26,External,123.25,v1.0.0
FLR-000311,AST-00201,2022-08-31,Software,32.39,v1.0.0
FLR-000312,AST-00306,2023-04-25,Wear & Tear,55.44,v1.0.0
FLR-000313,AST-00029,2020-02-18,Wear & Tear,53.77,v1.0.0
FLR-000314,AST-00471,2024-11-27,Electrical,32.44,v1.0.0
FLR-000315,AST-00374,2021-10-08,Wear & Tear,253.33,v1.0.0
FLR-000316,AST-00463,2013-06-12,Mechanical,51.85,v1.0.0
FLR-000317,AST-00055,2025-10-20,Wear & Tear,14.15,v1.0.0
FLR-000318,AST-00197,2024-01-19,Software,58.67,v1.0.0
FLR-000319,AST-00055,2021-03-21,Mechanical,142.97,v1.0.0
FLR-000320,AST-00433,2024-01-19,Wear & Tear,152.69,v1.0.0
FLR-000321,AST-00213,2024-06-22,Wear & Tear,83.69,v1.0.0
FLR-000322,AST-00124,2017-12-07,Software,147.41,v1.0.0
FLR-000323,AST-00228,2023-11-12,Wear & Tear,69.72,v1.0.0
FLR-000324,AST-00060,2025-02-14,,61.79,v1.0.0
FLR-000325,AST-00387,2026-03-27,Wear & Tear,,v1.0.0
FLR-000326,AST-00497,2023-02-16,Software,38.45,v1.0.0
FLR-000327,AST-00296,2018-05-27,Mechanical,206.06,v1.0.0
FLR-000328,AST-00263,2025-01-10,Software,40.65,v1.0.0
FLR-000329,AST-00138,2016-07-30,Software,114.73,v1.0.0
FLR-000330,AST-00092,2025-03-30,Wear & Tear,51.95,v1.0.0
FLR-000331,AST-00472,2011-08-11,Wear & Tear,150.71,v1.0.0
FLR-000332,AST-00329,2018-06-11,Wear & Tear,32.54,v1.0.0
FLR-000333,AST-00082,2024-01-10,Electrical,38.45,v1.0.0
FLR-000334,AST-00402,2024-06-01,Mechanical,87.51,v1.0.0
FLR-000335,AST-00305,2021-07-29,Wear & Tear,91.68,v1.0.0
FLR-000336,AST-00366,2018-04-10,,265.34,v1.0.0
FLR-000337,AST-00252,2024-04-18,Electrical,103.89,v1.0.0
FLR-000338,AST-00498,2013-03-18,Wear & Tear,41.41,v1.0.0
FLR-000339,AST-00291,2025-06-02,Mechanical,115.34,v1.0.0
FLR-000340,AST-00280,2017-04-05,Electrical,,v1.0.0
FLR-000341,AST-00124,2020-10-23,Wear & Tear,108.85,v1.0.0
FLR-000342,AST-00276,2019-11-04,Wear & Tear,167.18,v1.0.0
FLR-000343,AST-00163,2023-05-18,Wear & Tear,70.62,v1.0.0
FLR-000344,AST-00441,2024-03-15,Electrical,11.81,v1.0.0
FLR-000345,AST-00163,2023-10-27,Mechanical,184.44,v1.0.0
FLR-000346,AST-00142,2022-02-17,Wear & Tear,145.8,v1.0.0
FLR-000347,AST-00169,2018-09-28,Mechanical,318.21,v1.0.0
FLR-000348,AST-00092,2020-04-13,Software,69.54,v1.0.0
FLR-000349,AST-00419,2026-02-27,Mechanical,56.53,v1.0.0
FLR-000350,AST-00488,2019-11-15,Mechanical,62.25,v1.0.0
FLR-000351,AST-00155,2023-07-13,Wear & Tear,136.28,v1.0.0
FLR-000352,AST-00053,2025-11-22,Mechanical,106.76,v1.0.0
FLR-000353,AST-00113,2021-08-18,Wear & Tear,158.66,v1.0.0
FLR-000354,AST-00472,2012-10-22,Mechanical,79.33,v1.0.0
FLR-000355,AST-00222,2017-05-27,Mechanical,211.93,v1.0.0
FLR-000356,AST-00155,2024-09-08,Electrical,137.47,v1.0.0
FLR-000357,AST-00285,2023-10-18,Mechanical,128.56,v1.0.0
FLR-000358,AST-00075,2025-11-22,Wear & Tear,147.0,v1.0.0
FLR-000359,AST-00177,2013-08-24,Wear & Tear,286.8,v1.0.0
FLR-000360,AST-00230,2024-12-05,Software,33.4,v1.0.0
FLR-000361,AST-00122,2018-02-13,Wear & Tear,57.69,v1.0.0
FLR-000362,AST-00252,2022-07-31,,179.2,v1.0.0
FLR-000363,AST-00076,2022-07-12,Mechanical,9.39,v1.0.0
FLR-000364,AST-00298,2024-08-21,Electrical,161.51,v1.0.0
FLR-000365,AST-00432,2021-08-03,Mechanical,50.46,v1.0.0
FLR-000366,AST-00319,2020-10-28,Mechanical,112.96,v1.0.0
FLR-000367,AST-00429,2025-02-12,Mechanical,5.99,v1.0.0
FLR-000368,AST-00263,2024-12-12,Electrical,38.57,v1.0.0
FLR-000369,AST-00459,2024-04-10,Mechanical,115.83,v1.0.0
FLR-000370,AST-00356,2024-06-09,Wear & Tear,211.42,v1.0.0
FLR-000371,AST-00485,2015-09-04,Electrical,111.25,v1.0.0
FLR-000372,AST-00047,2025-05-09,Electrical,135.63,v1.0.0
FLR-000373,AST-00151,2014-12-14,Mechanical,216.8,v1.0.0
FLR-000374,AST-00205,2014-08-29,Software,71.94,v1.0.0
FLR-000375,AST-00132,2019-11-07,Wear & Tear,78.56,v1.0.0
FLR-000376,AST-00375,2018-12-23,Mechanical,89.45,v1.0.0
FLR-000377,AST-00413,2018-10-29,External,178.07,v1.0.0
FLR-000378,AST-00400,2022-11-17,Wear & Tear,155.23,v1.0.0
FLR-000379,AST-00152,2024-06-04,Mechanical,100.18,v1.0.0
FLR-000380,AST-00141,2023-02-08,External,98.33,v1.0.0
FLR-000381,AST-00168,2026-04-22,Electrical,37.69,v1.0.0
FLR-000382,AST-00138,2021-07-27,Software,78.9,v1.0.0
FLR-000383,AST-00263,2025-09-11,Electrical,111.7,v1.0.0
FLR-000384,AST-00288,2021-12-24,Wear & Tear,87.12,v1.0.0
