history_id,technician_id,request_id,category,success_rate,resolution_hours,dataset_version
THX-000063,TEC-011,REQ-021517,HVAC,0.539,1.02,v1.0.0
THX-000064,TEC-028,REQ-011582,Parking,0.991,50.59,v1.0.0
THX-000065,TEC-076,REQ-015233,Fire Safety,0.845,3.54,v1.0.0
THX-000066,TEC-001,REQ-007881,Water Leakage,0.557,7.74,v1.0.0
THX-000067,TEC-014,REQ-010701,Water Leakage,0.821,0.79,v1.0.0
THX-000068,TEC-011,REQ-008950,Parking,0.699,35.03,v1.0.0
THX-000069,TEC-023,REQ-006564,Electrical,1.0,16.66,v1.0.0
THX-000070,TEC-019,REQ-020495,Noise,1.0,22.69,v1.0.0
THX-000071,TEC-055,REQ-020218,Electrical,0.857,17.39,v1.0.0
THX-000072,TEC-021,REQ-009968,Noise,0.787,93.64,v1.0.0
THX-000073,TEC-017,REQ-003192,Lift,0.916,3.53,v1.0.0
THX-000074,TEC-042,REQ-002523,,0.591,1.26,v1.0.0
THX-000075,TEC-003,REQ-003348,Plumbing,0.986,,v1.0.0
THX-000076,TEC-026,REQ-019228,Noise,1.0,26.31,v1.0.0
THX-000077,TEC-032,REQ-006540,Water Leakage,0.6,9.92,v1.0.0
THX-000078,TEC-027,REQ-008375,Water Supply,,11.18,v1.0.0
THX-000079,TEC-012,REQ-000490,Security,0.95,2.29,v1.0.0
THX-000080,TEC-013,REQ-017463,Lift,0.535,4.37,v1.0.0
THX-000081,TEC-030,REQ-015832,Plumbing,,6.64,v1.0.0
THX-000082,TEC-022,REQ-007330,Water Leakage,,2.08,v1.0.0
THX-000083,TEC-015,REQ-004394,Security,1.0,43.3,v1.0.0
THX-000084,TEC-032,REQ-007709,Water Supply,0.524,24.0,v1.0.0
THX-000085,TEC-039,REQ-010465,Plumbing,1.0,16.46,v1.0.0
THX-000086,TEC-009,REQ-016335,Plumbing,0.738,,v1.0.0
THX-000087,TEC-018,REQ-019038,Parking,0.945,4.97,v1.0.0
THX-000088,TEC-014,REQ-003046,Noise,0.901,69.02,v1.0.0
THX-000089,TEC-014,REQ-014797,Electrical,0.857,8.4,v1.0.0
THX-000090,TEC-014,REQ-017533,Lift,0.867,3.31,v1.0.0
THX-000091,TEC-003,REQ-013710,Electrical,0.938,8.98,v1.0.0
THX-000092,TEC-016,REQ-012207,Lift,0.766,13.46,v1.0.0
THX-000093,TEC-010,REQ-006293,Water Supply,1.0,,v1.0.0
THX-000094,TEC-019,REQ-018647,Noise,0.892,98.96,v1.0.0
THX-000095,TEC-012,REQ-010098,Security,0.888,2.72,v1.0.0
THX-000096,TEC-016,REQ-017197,Fire Safety,0.744,16.67,v1.0.0
THX-000097,TEC-027,REQ-000637,Lift,1.0,1.87,v1.0.0
THX-000098,TEC-033,REQ-008588,Water Leakage,0.743,5.34,v1.0.0
THX-000099,TEC-044,REQ-015854,Plumbing,0.621,23.1,v1.0.0
THX-000100,TEC-028,REQ-000259,Lift,0.993,12.64,v1.0.0
THX-000101,TEC-025,REQ-019865,Lift,,4.59,v1.0.0
THX-000102,TEC-003,REQ-021496,Lift,1.0,3.53,v1.0.0
THX-000103,TEC-017,REQ-010939,Fire Safety,1.0,11.57,v1.0.0
THX-000104,TEC-010,REQ-015488,Water Supply,1.0,24.46,v1.0.0
THX-000105,TEC-025,REQ-018497,Fire Safety,0.984,3.27,v1.0.0
THX-000106,TEC-009,REQ-009436,Water Supply,0.933,17.57,v1.0.0
THX-000107,TEC-010,REQ-007941,Parking,1.0,29.95,v1.0.0
THX-000108,TEC-013,REQ-002075,Noise,0.532,69.74,v1.0.0
THX-000109,TEC-019,REQ-001314,Electrical,0.881,3.91,v1.0.0
THX-000110,TEC-010,REQ-020196,Water Supply,1.0,4.68,v1.0.0
THX-000111,TEC-011,REQ-012389,Parking,0.848,145.34,v1.0.0
THX-000112,TEC-011,REQ-013522,Security,0.696,20.22,v1.0.0
THX-000113,TEC-010,REQ-013651,Parking,1.0,35.23,v1.0.0
THX-000114,TEC-020,REQ-012238,Security,0.947,5.84,v1.0.0
THX-000115,TEC-005,REQ-020331,Lift,0.661,,v1.0.0
THX-000116,TEC-044,REQ-014068,Plumbing,0.558,14.3,v1.0.0
THX-000117,TEC-027,REQ-003345,Noise,1.0,19.82,v1.0.0
THX-000118,TEC-013,REQ-017392,Water Leakage,,14.83,v1.0.0
THX-000119,TEC-004,REQ-004477,Lift,0.83,3.05,v1.0.0
THX-000120,TEC-022,REQ-020146,Security,0.877,,v1.0.0
THX-000121,TEC-005,REQ-012691,Electrical,0.777,16.39,v1.0.0
THX-000122,TEC-021,REQ-012764,Noise,0.983,51.66,v1.0.0
THX-000123,TEC-022,REQ-019582,Fire Safety,0.897,0.66,v1.0.0
THX-000124,TEC-014,REQ-014373,Water Supply,0.922,4.79,v1.0.0
THX-000125,TEC-026,REQ-001615,Water Leakage,0.806,1.48,v1.0.0
THX-000126,TEC-014,REQ-008431,Parking,0.866,62.61,v1.0.0
THX-000127,TEC-013,REQ-011832,Noise,0.563,148.25,v1.0.0
THX-000128,TEC-006,REQ-009364,Parking,0.512,39.36,v1.0.0
THX-000129,TEC-073,REQ-006881,Security,0.5,4.65,v1.0.0
THX-000130,TEC-015,REQ-004633,Security,0.983,38.79,v1.0.0
THX-000131,TEC-017,REQ-016917,Noise,1.0,85.99,v1.0.0
THX-000132,TEC-011,REQ-000842,Security,0.604,,v1.0.0
THX-000133,TEC-033,REQ-002490,Plumbing,0.732,15.98,v1.0.0
THX-000134,TEC-050,REQ-009955,Electrical,0.971,44.53,v1.0.0
THX-000135,TEC-022,REQ-004083,Fire Safety,,8.31,v1.0.0
THX-000136,TEC-009,REQ-017239,Plumbing,0.89,14.43,v1.0.0
THX-000137,TEC-006,REQ-008195,Parking,0.653,82.48,v1.0.0
THX-000138,TEC-004,REQ-014556,Fire Safety,0.937,4.93,v1.0.0
THX-000139,TEC-018,REQ-002021,Noise,0.858,22.01,v1.0.0
THX-000140,TEC-013,REQ-021289,Lift,0.574,10.99,v1.0.0
THX-000141,TEC-005,REQ-005885,Fire Safety,0.732,,v1.0.0
THX-000142,TEC-011,REQ-018174,Lift,0.729,3.81,v1.0.0
THX-000143,TEC-011,REQ-017327,HVAC,0.724,19.67,v1.0.0
THX-000144,TEC-013,REQ-001068,Parking,0.543,124.52,v1.0.0
THX-000145,TEC-018,REQ-007283,Water Leakage,0.877,1.79,v1.0.0
THX-000146,TEC-045,REQ-009191,Plumbing,1.0,12.86,v1.0.0
THX-000147,TEC-016,REQ-017416,Water Leakage,0.931,19.05,v1.0.0
THX-000148,TEC-004,REQ-007206,HVAC,0.98,26.7,v1.0.0
THX-000149,TEC-041,REQ-006135,Water Supply,0.982,9.47,v1.0.0
THX-000150,TEC-065,REQ-000255,,1.0,41.63,v1.0.0
THX-000151,TEC-018,REQ-014313,HVAC,0.753,38.67,v1.0.0
THX-000152,TEC-019,REQ-015858,HVAC,0.943,1.1,v1.0.0
THX-000153,TEC-009,REQ-005446,Electrical,0.835,4.63,v1.0.0
THX-000154,TEC-011,REQ-002891,Water Leakage,0.806,15.42,v1.0.0
THX-000155,TEC-011,REQ-009966,Lift,0.652,12.24,v1.0.0
THX-000156,TEC-028,REQ-009687,HVAC,0.918,12.1,v1.0.0
THX-000157,TEC-014,REQ-000247,HVAC,0.698,4.98,v1.0.0
THX-000158,TEC-001,REQ-002401,Plumbing,0.577,20.85,v1.0.0
THX-000159,TEC-031,REQ-014719,Plumbing,0.585,156.03,v1.0.0
THX-000160,TEC-014,REQ-018823,Noise,0.828,43.3,v1.0.0
THX-000161,TEC-002,REQ-011668,Parking,0.68,48.49,v1.0.0
THX-000162,TEC-034,REQ-014484,Plumbing,0.782,32.41,v1.0.0
THX-000163,TEC-041,REQ-019583,Water Leakage,0.909,4.95,v1.0.0
THX-000164,TEC-016,REQ-021234,,0.613,13.95,v1.0.0
THX-000165,TEC-036,REQ-003491,Water Supply,0.76,51.03,v1.0.0
THX-000166,TEC-007,REQ-017789,Noise,0.787,32.02,v1.0.0
THX-000167,TEC-006,REQ-008149,Noise,0.522,140.64,v1.0.0
THX-000168,TEC-015,REQ-002476,Security,1.0,3.21,v1.0.0
THX-000169,TEC-018,REQ-010396,Security,1.0,34.99,v1.0.0
THX-000170,TEC-006,REQ-014265,Parking,0.516,188.44,v1.0.0
THX-000171,TEC-012,REQ-003603,Lift,0.961,3.88,v1.0.0
THX-000172,TEC-013,REQ-002153,,0.657,6.83,v1.0.0
THX-000173,TEC-004,REQ-010844,Plumbing,0.968,5.15,v1.0.0
THX-000174,TEC-058,REQ-007169,Electrical,0.791,18.31,v1.0.0
THX-000175,TEC-001,REQ-002962,HVAC,0.57,194.16,v1.0.0
THX-000176,TEC-007,REQ-013891,Electrical,0.952,26.5,v1.0.0
THX-000177,TEC-020,REQ-005884,HVAC,0.865,11.58,v1.0.0
THX-000178,TEC-023,REQ-002245,Water Leakage,,2.54,v1.0.0
THX-000179,TEC-028,REQ-010159,HVAC,0.959,60.91,v1.0.0
THX-000180,TEC-012,REQ-010111,Plumbing,,12.12,v1.0.0
THX-000181,TEC-008,REQ-008232,Water Supply,0.771,55.24,v1.0.0
THX-000182,TEC-025,REQ-017804,Security,0.929,17.92,v1.0.0
THX-000183,TEC-015,REQ-018090,Security,1.0,1.87,v1.0.0
THX-000184,TEC-039,REQ-020729,Water Leakage,1.0,,v1.0.0
THX-000185,TEC-020,REQ-017581,Water Supply,0.868,19.14,v1.0.0
THX-000186,TEC-028,REQ-011508,Fire Safety,1.0,3.54,v1.0.0
THX-000187,TEC-012,REQ-020400,Water Supply,1.0,1.91,v1.0.0
THX-000188,TEC-008,REQ-014795,Water Supply,0.818,3.31,v1.0.0
THX-000189,TEC-002,REQ-016457,Security,0.754,12.33,v1.0.0
THX-000190,TEC-033,REQ-002551,Plumbing,0.73,16.1,v1.0.0
THX-000191,TEC-008,REQ-006747,Noise,0.732,75.0,v1.0.0
THX-000192,TEC-024,REQ-018212,Water Leakage,0.955,15.31,v1.0.0
THX-000193,TEC-003,REQ-008891,Lift,0.982,4.91,v1.0.0
THX-000194,TEC-061,REQ-012786,HVAC,0.777,19.62,v1.0.0
THX-000195,TEC-053,REQ-009202,Electrical,1.0,54.14,v1.0.0
THX-000196,TEC-001,REQ-012342,Lift,0.621,6.9,v1.0.0
THX-000197,TEC-001,REQ-018895,Plumbing,0.529,10.12,v1.0.0
THX-000198,TEC-012,REQ-001431,HVAC,0.901,10.56,v1.0.0
THX-000199,TEC-033,REQ-005573,Water Supply,0.825,3.65,v1.0.0
THX-000200,TEC-005,REQ-007837,Parking,0.771,54.77,v1.0.0
THX-000201,TEC-003,REQ-015230,Parking,1.0,29.57,v1.0.0
THX-000202,TEC-024,REQ-016081,Parking,,45.34,v1.0.0
THX-000203,TEC-010,REQ-006890,Water Leakage,1.0,14.92,v1.0.0
THX-000204,TEC-064,REQ-012051,HVAC,0.946,26.55,v1.0.0
THX-000205,TEC-020,REQ-019426,Noise,0.741,33.24,v1.0.0
THX-000206,TEC-011,REQ-003180,Lift,0.672,11.33,v1.0.0
THX-000207,TEC-011,REQ-006960,HVAC,0.731,20.42,v1.0.0
THX-000208,TEC-028,REQ-020536,Plumbing,0.974,68.23,v1.0.0
THX-000209,TEC-022,REQ-002739,Plumbing,0.867,2.19,v1.0.0
THX-000210,TEC-013,REQ-017702,Fire Safety,0.622,4.61,v1.0.0
THX-000211,TEC-003,REQ-003661,Security,0.97,5.05,v1.0.0
THX-000212,TEC-040,REQ-017746,Water Supply,0.922,3.09,v1.0.0
THX-000213,TEC-016,REQ-014957,Plumbing,,27.76,v1.0.0
THX-000214,TEC-001,REQ-003557,Parking,0.385,19.67,v1.0.0
THX-000215,TEC-014,REQ-017471,HVAC,0.851,6.72,v1.0.0
THX-000216,TEC-022,REQ-007101,Parking,0.904,18.77,v1.0.0
THX-000217,TEC-001,REQ-004928,Parking,0.614,125.58,v1.0.0
THX-000218,TEC-059,REQ-016788,Electrical,0.8,12.28,v1.0.0
THX-000219,TEC-009,REQ-001503,HVAC,,15.75,v1.0.0
THX-000220,TEC-006,REQ-005883,Electrical,0.636,,v1.0.0
THX-000221,TEC-012,REQ-014120,Plumbing,1.0,39.72,v1.0.0
THX-000222,TEC-018,REQ-005650,Security,,2.87,v1.0.0
THX-000223,TEC-006,REQ-011430,Water Leakage,0.679,6.52,v1.0.0
THX-000224,TEC-019,REQ-010028,,0.964,91.01,v1.0.0
THX-000225,TEC-055,REQ-015939,,0.865,54.69,v1.0.0
THX-000226,TEC-023,REQ-008567,Parking,0.946,76.49,v1.0.0
THX-000227,TEC-018,REQ-017956,Water Leakage,0.843,1.22,v1.0.0
THX-000228,TEC-007,REQ-018185,Noise,0.994,46.69,v1.0.0
THX-000229,TEC-016,REQ-004250,Parking,0.777,54.02,v1.0.0
THX-000230,TEC-056,REQ-010938,Electrical,0.769,39.13,v1.0.0
THX-000231,TEC-054,REQ-013346,Fire Safety,,14.86,v1.0.0
THX-000232,TEC-025,REQ-007334,Water Supply,,31.37,v1.0.0
THX-000233,TEC-011,REQ-020685,Security,0.85,5.0,v1.0.0
THX-000234,TEC-026,REQ-019494,Electrical,,33.06,v1.0.0
THX-000235,TEC-014,REQ-008723,,0.936,5.12,v1.0.0
THX-000236,TEC-020,REQ-011436,Security,0.806,41.02,v1.0.0
THX-000237,TEC-020,REQ-006971,Noise,0.835,34.63,v1.0.0
THX-000238,TEC-018,REQ-009957,HVAC,0.814,17.39,v1.0.0
THX-000239,TEC-012,REQ-011262,Noise,1.0,77.4,v1.0.0
THX-000240,TEC-017,REQ-016174,Electrical,0.956,20.98,v1.0.0
THX-000241,TEC-030,REQ-005758,,1.0,,v1.0.0
THX-000242,TEC-011,REQ-014142,Parking,0.695,81.67,v1.0.0
THX-000243,TEC-012,REQ-009563,,1.0,45.15,v1.0.0
THX-000244,TEC-008,REQ-010237,Water Supply,0.85,4.05,v1.0.0
THX-000245,TEC-006,REQ-013398,Parking,0.756,201.37,v1.0.0
THX-000246,TEC-028,REQ-004259,Security,1.0,3.05,v1.0.0
THX-000247,TEC-003,REQ-013449,Noise,0.864,11.0,v1.0.0
THX-000248,TEC-016,REQ-018028,Parking,0.725,43.85,v1.0.0
THX-000249,TEC-037,REQ-001315,Water Supply,0.516,3.51,v1.0.0
THX-000250,TEC-036,REQ-004232,Plumbing,0.549,54.78,v1.0.0
THX-000251,TEC-015,REQ-000378,Fire Safety,1.0,13.31,v1.0.0
THX-000252,TEC-021,REQ-015585,Electrical,,17.89,v1.0.0
THX-000253,TEC-046,REQ-021171,Water Leakage,0.954,11.05,v1.0.0
THX-000254,TEC-041,REQ-000889,Water Supply,,81.74,v1.0.0
THX-000255,TEC-024,REQ-000238,Parking,0.933,106.46,v1.0.0
THX-000256,TEC-007,REQ-013093,Lift,0.793,12.4,v1.0.0
THX-000257,TEC-048,REQ-003678,Electrical,0.536,144.07,v1.0.0
THX-000258,TEC-001,REQ-007606,HVAC,0.615,29.46,v1.0.0
THX-000259,TEC-026,REQ-002261,Parking,1.0,50.75,v1.0.0
THX-000260,TEC-010,REQ-000725,Water Supply,1.0,8.84,v1.0.0
THX-000261,TEC-021,REQ-006771,Electrical,0.687,5.12,v1.0.0
THX-000262,TEC-030,REQ-002355,Water Leakage,1.0,13.72,v1.0.0
THX-000263,TEC-020,REQ-004777,Lift,0.836,3.51,v1.0.0
THX-000264,TEC-016,REQ-016130,HVAC,0.763,19.0,v1.0.0
THX-000265,TEC-012,REQ-009273,Noise,1.0,40.1,v1.0.0
THX-000266,TEC-055,REQ-004963,Fire Safety,0.705,3.69,v1.0.0
THX-000267,TEC-014,REQ-013868,Water Supply,0.823,24.45,v1.0.0
THX-000268,TEC-025,REQ-003715,HVAC,0.997,46.7,v1.0.0
THX-000269,TEC-004,REQ-020600,Electrical,0.703,12.99,v1.0.0
THX-000270,TEC-022,REQ-013414,Security,1.0,13.0,v1.0.0
THX-000271,TEC-026,REQ-001742,Noise,0.999,73.44,v1.0.0
THX-000272,TEC-003,REQ-015311,Fire Safety,1.0,5.16,v1.0.0
THX-000273,TEC-006,REQ-000992,Noise,0.564,44.82,v1.0.0
THX-000274,TEC-006,REQ-010079,Fire Safety,0.675,9.26,v1.0.0
THX-000275,TEC-025,REQ-009415,Security,1.0,2.16,v1.0.0
THX-000276,TEC-009,REQ-015667,HVAC,0.829,82.67,v1.0.0
THX-000277,TEC-007,REQ-009119,Electrical,0.909,10.99,v1.0.0
THX-000278,TEC-022,REQ-008947,Electrical,0.912,14.06,v1.0.0
THX-000279,TEC-058,REQ-007220,Electrical,0.801,68.99,v1.0.0
THX-000280,TEC-010,REQ-021089,Noise,1.0,,v1.0.0
THX-000281,TEC-027,REQ-007463,HVAC,0.958,13.48,v1.0.0
THX-000282,TEC-028,REQ-013306,Security,1.0,20.97,v1.0.0
THX-000283,TEC-031,REQ-010890,Water Supply,0.75,,v1.0.0
THX-000284,TEC-005,REQ-015412,Parking,0.665,25.8,v1.0.0
THX-000285,TEC-001,REQ-005949,Lift,0.58,30.63,v1.0.0
THX-000286,TEC-012,REQ-002940,Water Leakage,1.0,1.23,v1.0.0
THX-000287,TEC-076,REQ-015045,Fire Safety,0.851,3.67,v1.0.0
THX-000288,TEC-019,REQ-008280,Noise,0.924,55.46,v1.0.0
THX-000289,TEC-012,REQ-010187,Water Supply,1.0,8.7,v1.0.0
THX-000290,TEC-010,REQ-005569,Parking,1.0,60.63,v1.0.0
THX-000291,TEC-014,REQ-013613,Parking,,86.17,v1.0.0
THX-000292,TEC-012,REQ-016737,Parking,1.0,75.07,v1.0.0
THX-000293,TEC-006,REQ-016403,Security,0.679,3.39,v1.0.0
THX-000294,TEC-004,REQ-013711,Parking,0.897,8.02,v1.0.0
THX-000295,TEC-015,REQ-001067,Noise,1.0,47.24,v1.0.0
THX-000296,TEC-050,REQ-021134,Fire Safety,1.0,3.11,v1.0.0
THX-000297,TEC-051,REQ-012381,Fire Safety,1.0,1.58,v1.0.0
THX-000298,TEC-080,REQ-005944,Security,,1.34,v1.0.0
THX-000299,TEC-067,REQ-019134,HVAC,0.978,39.03,v1.0.0
THX-000300,TEC-045,REQ-003096,Water Leakage,0.953,1.44,v1.0.0
THX-000301,TEC-001,REQ-019121,Noise,0.599,,v1.0.0
THX-000302,TEC-011,REQ-018224,HVAC,0.815,,v1.0.0
THX-000303,TEC-011,REQ-003766,Water Leakage,0.582,18.33,v1.0.0
THX-000304,TEC-011,REQ-019922,Water Supply,0.61,6.73,v1.0.0
THX-000305,TEC-009,REQ-020422,Parking,0.682,97.53,v1.0.0
THX-000306,TEC-003,REQ-001093,Electrical,0.926,0.65,v1.0.0
THX-000307,TEC-010,REQ-005124,HVAC,1.0,12.84,v1.0.0
THX-000308,TEC-043,REQ-018964,Water Supply,0.852,16.04,v1.0.0
THX-000309,TEC-015,REQ-008659,Plumbing,1.0,29.48,v1.0.0
THX-000310,TEC-011,REQ-008797,Water Leakage,0.597,8.0,v1.0.0
THX-000311,TEC-045,REQ-009948,Water Leakage,0.805,4.68,v1.0.0
THX-000312,TEC-025,REQ-008457,Noise,0.954,13.0,v1.0.0
THX-000313,TEC-001,REQ-005532,,0.552,,v1.0.0
THX-000314,TEC-006,REQ-021209,Electrical,0.647,34.41,v1.0.0
THX-000315,TEC-020,REQ-016753,Electrical,0.886,35.82,v1.0.0
THX-000316,TEC-045,REQ-010364,Water Supply,1.0,45.97,v1.0.0
THX-000317,TEC-001,REQ-021452,Noise,,218.1,v1.0.0
THX-000318,TEC-026,REQ-017610,Water Leakage,0.988,14.36,v1.0.0
THX-000319,TEC-015,REQ-006441,Water Leakage,1.0,12.25,v1.0.0
THX-000320,TEC-023,REQ-017814,Water Supply,0.974,8.44,v1.0.0
THX-000321,TEC-017,REQ-010358,Electrical,1.0,44.94,v1.0.0
THX-000322,TEC-025,REQ-007407,Electrical,0.966,11.75,v1.0.0
THX-000323,TEC-037,REQ-001427,Plumbing,0.676,69.44,v1.0.0
THX-000324,TEC-027,REQ-002403,Electrical,0.939,35.43,v1.0.0
THX-000325,TEC-003,REQ-011503,Parking,1.0,24.58,v1.0.0
THX-000326,TEC-016,REQ-001340,Parking,0.709,28.94,v1.0.0
THX-000327,TEC-068,REQ-021051,HVAC,0.921,25.01,v1.0.0
THX-000328,TEC-055,REQ-016741,Electrical,0.936,28.49,v1.0.0
THX-000329,TEC-001,REQ-009722,Electrical,0.431,7.92,v1.0.0
THX-000330,TEC-024,REQ-006518,Fire Safety,0.826,10.07,v1.0.0
THX-000331,TEC-010,REQ-021114,Electrical,0.931,41.41,v1.0.0
THX-000332,TEC-054,REQ-015962,Fire Safety,0.683,0.98,v1.0.0
THX-000333,TEC-004,REQ-020249,Security,0.776,2.04,v1.0.0
THX-000334,TEC-019,REQ-016476,Fire Safety,1.0,2.81,v1.0.0
THX-000335,TEC-010,REQ-004138,Parking,1.0,8.22,v1.0.0
THX-000336,TEC-037,REQ-016867,Water Leakage,0.626,,v1.0.0
THX-000337,TEC-004,REQ-012084,Plumbing,0.917,128.92,v1.0.0
THX-000338,TEC-017,REQ-021140,Lift,,2.34,v1.0.0
THX-000339,TEC-026,REQ-018867,Water Leakage,,2.91,v1.0.0
THX-000340,TEC-020,REQ-010126,Plumbing,0.938,19.01,v1.0.0
THX-000341,TEC-010,REQ-002078,HVAC,1.0,93.36,v1.0.0
THX-000342,TEC-019,REQ-004333,Parking,0.923,15.91,v1.0.0
THX-000343,TEC-007,REQ-016596,Security,0.842,3.21,v1.0.0
THX-000344,TEC-024,REQ-009003,Plumbing,0.812,4.39,v1.0.0
THX-000345,TEC-002,REQ-011784,Security,0.679,2.26,v1.0.0
THX-000346,TEC-004,REQ-014139,Fire Safety,0.801,4.45,v1.0.0
THX-000347,TEC-031,REQ-016611,Water Leakage,0.734,17.4,v1.0.0
THX-000348,TEC-022,REQ-016547,Water Leakage,1.0,2.9,v1.0.0
THX-000349,TEC-014,REQ-013943,Water Leakage,0.759,1.6,v1.0.0
THX-000350,TEC-024,REQ-013049,Electrical,0.961,17.92,v1.0.0
THX-000351,TEC-025,REQ-003082,Electrical,0.867,96.45,v1.0.0
THX-000352,TEC-003,REQ-005518,Water Supply,1.0,25.39,v1.0.0
THX-000353,TEC-012,REQ-007316,Electrical,,6.44,v1.0.0
THX-000354,TEC-035,REQ-017572,Plumbing,0.784,46.16,v1.0.0
THX-000355,TEC-036,REQ-003535,Plumbing,0.664,,v1.0.0
THX-000356,TEC-001,REQ-009187,HVAC,0.542,210.4,v1.0.0
THX-000357,TEC-019,REQ-014899,Parking,0.947,38.08,v1.0.0
THX-000358,TEC-001,REQ-003094,Noise,0.504,65.03,v1.0.0
THX-000359,TEC-007,REQ-012279,Fire Safety,0.838,5.14,v1.0.0
THX-000360,TEC-003,REQ-011507,Lift,,3.84,v1.0.0
THX-000361,TEC-078,REQ-011925,Fire Safety,0.555,8.1,v1.0.0
