history_id,technician_id,request_id,category,success_rate,resolution_hours,dataset_version
thx-000070,tec-019,req-020495,noise,1.0,22.69,v1.0.0
thx-000071,tec-055,req-020218,electrical,0.857,17.39,v1.0.0
thx-000072,tec-021,req-009968,noise,0.787,93.64,v1.0.0
thx-000073,tec-017,req-003192,lift,0.916,3.53,v1.0.0
thx-000074,tec-042,req-002523,fire safety,0.591,1.26,v1.0.0
thx-000075,tec-003,req-003348,plumbing,0.986,13.66,v1.0.0
thx-000076,tec-026,req-019228,noise,1.0,26.31,v1.0.0
thx-000077,tec-032,req-006540,water leakage,0.6,9.92,v1.0.0
thx-000078,tec-027,req-008375,water supply,0.877,11.18,v1.0.0
thx-000079,tec-012,req-000490,security,0.95,2.29,v1.0.0
thx-000080,tec-013,req-017463,lift,0.535,4.37,v1.0.0
thx-000081,tec-030,req-015832,plumbing,0.877,6.64,v1.0.0
thx-000082,tec-022,req-007330,water leakage,0.877,2.08,v1.0.0
thx-000083,tec-015,req-004394,security,1.0,43.3,v1.0.0
thx-000084,tec-032,req-007709,water supply,0.524,24.0,v1.0.0
thx-000085,tec-039,req-010465,plumbing,1.0,16.46,v1.0.0
thx-000086,tec-009,req-016335,plumbing,0.738,13.66,v1.0.0
thx-000087,tec-018,req-019038,parking,0.945,4.97,v1.0.0
thx-000088,tec-014,req-003046,noise,0.901,69.02,v1.0.0
thx-000089,tec-014,req-014797,electrical,0.857,8.4,v1.0.0
thx-000090,tec-014,req-017533,lift,0.867,3.31,v1.0.0
thx-000091,tec-003,req-013710,electrical,0.938,8.98,v1.0.0
thx-000092,tec-016,req-012207,lift,0.766,13.46,v1.0.0
thx-000093,tec-010,req-006293,water supply,1.0,13.66,v1.0.0
thx-000094,tec-019,req-018647,noise,0.892,98.96,v1.0.0
thx-000095,tec-012,req-010098,security,0.888,2.72,v1.0.0
thx-000096,tec-016,req-017197,fire safety,0.744,16.67,v1.0.0
thx-000097,tec-027,req-000637,lift,1.0,1.87,v1.0.0
thx-000098,tec-033,req-008588,water leakage,0.743,5.34,v1.0.0
thx-000099,tec-044,req-015854,plumbing,0.621,23.1,v1.0.0
thx-000100,tec-028,req-000259,lift,0.993,12.64,v1.0.0
thx-000101,tec-025,req-019865,lift,0.877,4.59,v1.0.0
thx-000102,tec-003,req-021496,lift,1.0,3.53,v1.0.0
thx-000103,tec-017,req-010939,fire safety,1.0,11.57,v1.0.0
thx-000104,tec-010,req-015488,water supply,1.0,24.46,v1.0.0
thx-000105,tec-025,req-018497,fire safety,0.984,3.27,v1.0.0
thx-000106,tec-009,req-009436,water supply,0.933,17.57,v1.0.0
thx-000107,tec-010,req-007941,parking,1.0,29.95,v1.0.0
thx-000108,tec-013,req-002075,noise,0.532,69.74,v1.0.0
thx-000109,tec-019,req-001314,electrical,0.881,3.91,v1.0.0
thx-000110,tec-010,req-020196,water supply,1.0,4.68,v1.0.0
thx-000111,tec-011,req-012389,parking,0.848,142.42,v1.0.0
thx-000112,tec-011,req-013522,security,0.696,20.22,v1.0.0
thx-000113,tec-010,req-013651,parking,1.0,35.23,v1.0.0
thx-000114,tec-020,req-012238,security,0.947,5.84,v1.0.0
thx-000115,tec-005,req-020331,lift,0.661,13.66,v1.0.0
thx-000116,tec-044,req-014068,plumbing,0.558,14.3,v1.0.0
thx-000117,tec-027,req-003345,noise,1.0,19.82,v1.0.0
thx-000118,tec-013,req-017392,water leakage,0.877,14.83,v1.0.0
thx-000119,tec-004,req-004477,lift,0.83,3.05,v1.0.0
thx-000120,tec-022,req-020146,security,0.877,13.66,v1.0.0
thx-000121,tec-005,req-012691,electrical,0.777,16.39,v1.0.0
thx-000122,tec-021,req-012764,noise,0.983,51.66,v1.0.0
thx-000123,tec-022,req-019582,fire safety,0.897,0.99,v1.0.0
thx-000124,tec-014,req-014373,water supply,0.922,4.79,v1.0.0
thx-000125,tec-026,req-001615,water leakage,0.806,1.48,v1.0.0
thx-000126,tec-014,req-008431,parking,0.866,62.61,v1.0.0
thx-000127,tec-013,req-011832,noise,0.563,142.42,v1.0.0
thx-000128,tec-006,req-009364,parking,0.512,39.36,v1.0.0
thx-000129,tec-073,req-006881,security,0.5,4.65,v1.0.0
thx-000130,tec-015,req-004633,security,0.983,38.79,v1.0.0
thx-000131,tec-017,req-016917,noise,1.0,85.99,v1.0.0
thx-000132,tec-011,req-000842,security,0.604,13.66,v1.0.0
thx-000133,tec-033,req-002490,plumbing,0.732,15.98,v1.0.0
thx-000134,tec-050,req-009955,electrical,0.971,44.53,v1.0.0
thx-000135,tec-022,req-004083,fire safety,0.877,8.31,v1.0.0
thx-000136,tec-009,req-017239,plumbing,0.89,14.43,v1.0.0
thx-000137,tec-006,req-008195,parking,0.653,82.48,v1.0.0
thx-000138,tec-004,req-014556,fire safety,0.937,4.93,v1.0.0
thx-000139,tec-018,req-002021,noise,0.858,22.01,v1.0.0
thx-000140,tec-013,req-021289,lift,0.574,10.99,v1.0.0
thx-000141,tec-005,req-005885,fire safety,0.732,13.66,v1.0.0
thx-000142,tec-011,req-018174,lift,0.729,3.81,v1.0.0
thx-000143,tec-011,req-017327,hvac,0.724,19.67,v1.0.0
thx-000144,tec-013,req-001068,parking,0.543,124.52,v1.0.0
thx-000145,tec-018,req-007283,water leakage,0.877,1.79,v1.0.0
thx-000146,tec-045,req-009191,plumbing,1.0,12.86,v1.0.0
thx-000147,tec-016,req-017416,water leakage,0.931,19.05,v1.0.0
thx-000148,tec-004,req-007206,hvac,0.98,26.7,v1.0.0
thx-000149,tec-041,req-006135,water supply,0.982,9.47,v1.0.0
thx-000150,tec-065,req-000255,fire safety,1.0,41.63,v1.0.0
thx-000151,tec-018,req-014313,hvac,0.753,38.67,v1.0.0
thx-000152,tec-019,req-015858,hvac,0.943,1.1,v1.0.0
thx-000153,tec-009,req-005446,electrical,0.835,4.63,v1.0.0
thx-000154,tec-011,req-002891,water leakage,0.806,15.42,v1.0.0
thx-000155,tec-011,req-009966,lift,0.652,12.24,v1.0.0
thx-000156,tec-028,req-009687,hvac,0.918,12.1,v1.0.0
thx-000157,tec-014,req-000247,hvac,0.698,4.98,v1.0.0
thx-000158,tec-001,req-002401,plumbing,0.577,20.85,v1.0.0
thx-000159,tec-031,req-014719,plumbing,0.585,142.42,v1.0.0
thx-000160,tec-014,req-018823,noise,0.828,43.3,v1.0.0
thx-000161,tec-002,req-011668,parking,0.68,48.49,v1.0.0
thx-000162,tec-034,req-014484,plumbing,0.782,32.41,v1.0.0
thx-000163,tec-041,req-019583,water leakage,0.909,4.95,v1.0.0
thx-000164,tec-016,req-021234,fire safety,0.613,13.95,v1.0.0
thx-000165,tec-036,req-003491,water supply,0.76,51.03,v1.0.0
thx-000166,tec-007,req-017789,noise,0.787,32.02,v1.0.0
thx-000167,tec-006,req-008149,noise,0.522,140.64,v1.0.0
thx-000168,tec-015,req-002476,security,1.0,3.21,v1.0.0
thx-000169,tec-018,req-010396,security,1.0,34.99,v1.0.0
thx-000170,tec-006,req-014265,parking,0.516,142.42,v1.0.0
thx-000171,tec-012,req-003603,lift,0.961,3.88,v1.0.0
thx-000172,tec-013,req-002153,fire safety,0.657,6.83,v1.0.0
thx-000173,tec-004,req-010844,plumbing,0.968,5.15,v1.0.0
thx-000174,tec-058,req-007169,electrical,0.791,18.31,v1.0.0
thx-000175,tec-001,req-002962,hvac,0.57,142.42,v1.0.0
thx-000176,tec-007,req-013891,electrical,0.952,26.5,v1.0.0
thx-000177,tec-020,req-005884,hvac,0.865,11.58,v1.0.0
thx-000178,tec-023,req-002245,water leakage,0.877,2.54,v1.0.0
thx-000179,tec-028,req-010159,hvac,0.959,60.91,v1.0.0
thx-000180,tec-012,req-010111,plumbing,0.877,12.12,v1.0.0
thx-000181,tec-008,req-008232,water supply,0.771,55.24,v1.0.0
thx-000182,tec-025,req-017804,security,0.929,17.92,v1.0.0
thx-000183,tec-015,req-018090,security,1.0,1.87,v1.0.0
thx-000184,tec-039,req-020729,water leakage,1.0,13.66,v1.0.0
thx-000185,tec-020,req-017581,water supply,0.868,19.14,v1.0.0
thx-000186,tec-028,req-011508,fire safety,1.0,3.54,v1.0.0
thx-000187,tec-012,req-020400,water supply,1.0,1.91,v1.0.0
thx-000188,tec-008,req-014795,water supply,0.818,3.31,v1.0.0
thx-000189,tec-002,req-016457,security,0.754,12.33,v1.0.0
thx-000190,tec-033,req-002551,plumbing,0.73,16.1,v1.0.0
thx-000191,tec-008,req-006747,noise,0.732,75.0,v1.0.0
thx-000192,tec-024,req-018212,water leakage,0.955,15.31,v1.0.0
thx-000193,tec-003,req-008891,lift,0.982,4.91,v1.0.0
thx-000194,tec-061,req-012786,hvac,0.777,19.62,v1.0.0
thx-000195,tec-053,req-009202,electrical,1.0,54.14,v1.0.0
thx-000196,tec-001,req-012342,lift,0.621,6.9,v1.0.0
thx-000197,tec-001,req-018895,plumbing,0.529,10.12,v1.0.0
thx-000198,tec-012,req-001431,hvac,0.901,10.56,v1.0.0
thx-000199,tec-033,req-005573,water supply,0.825,3.65,v1.0.0
thx-000200,tec-005,req-007837,parking,0.771,54.77,v1.0.0
thx-000201,tec-003,req-015230,parking,1.0,29.57,v1.0.0
thx-000202,tec-024,req-016081,parking,0.877,45.34,v1.0.0
thx-000203,tec-010,req-006890,water leakage,1.0,14.92,v1.0.0
thx-000204,tec-064,req-012051,hvac,0.946,26.55,v1.0.0
thx-000205,tec-020,req-019426,noise,0.741,33.24,v1.0.0
thx-000206,tec-011,req-003180,lift,0.672,11.33,v1.0.0
thx-000207,tec-011,req-006960,hvac,0.731,20.42,v1.0.0
thx-000208,tec-028,req-020536,plumbing,0.974,68.23,v1.0.0
thx-000209,tec-022,req-002739,plumbing,0.867,2.19,v1.0.0
thx-000210,tec-013,req-017702,fire safety,0.622,4.61,v1.0.0
thx-000211,tec-003,req-003661,security,0.97,5.05,v1.0.0
thx-000212,tec-040,req-017746,water supply,0.922,3.09,v1.0.0
thx-000213,tec-016,req-014957,plumbing,0.877,27.76,v1.0.0
thx-000214,tec-001,req-003557,parking,0.482,19.67,v1.0.0
thx-000215,tec-014,req-017471,hvac,0.851,6.72,v1.0.0
thx-000216,tec-022,req-007101,parking,0.904,18.77,v1.0.0
thx-000217,tec-001,req-004928,parking,0.614,125.58,v1.0.0
thx-000218,tec-059,req-016788,electrical,0.8,12.28,v1.0.0
thx-000219,tec-009,req-001503,hvac,0.877,15.75,v1.0.0
thx-000220,tec-006,req-005883,electrical,0.636,13.66,v1.0.0
thx-000221,tec-012,req-014120,plumbing,1.0,39.72,v1.0.0
thx-000222,tec-018,req-005650,security,0.877,2.87,v1.0.0
thx-000223,tec-006,req-011430,water leakage,0.679,6.52,v1.0.0
thx-000224,tec-019,req-010028,fire safety,0.964,91.01,v1.0.0
thx-000225,tec-055,req-015939,fire safety,0.865,54.69,v1.0.0
thx-000226,tec-023,req-008567,parking,0.946,76.49,v1.0.0
thx-000227,tec-018,req-017956,water leakage,0.843,1.22,v1.0.0
thx-000228,tec-007,req-018185,noise,0.994,46.69,v1.0.0
thx-000229,tec-016,req-004250,parking,0.777,54.02,v1.0.0
thx-000230,tec-056,req-010938,electrical,0.769,39.13,v1.0.0
thx-000231,tec-054,req-013346,fire safety,0.877,14.86,v1.0.0
thx-000232,tec-025,req-007334,water supply,0.877,31.37,v1.0.0
thx-000233,tec-011,req-020685,security,0.85,5.0,v1.0.0
thx-000234,tec-026,req-019494,electrical,0.877,33.06,v1.0.0
thx-000235,tec-014,req-008723,fire safety,0.936,5.12,v1.0.0
thx-000236,tec-020,req-011436,security,0.806,41.02,v1.0.0
thx-000237,tec-020,req-006971,noise,0.835,34.63,v1.0.0
thx-000238,tec-018,req-009957,hvac,0.814,17.39,v1.0.0
thx-000239,tec-012,req-011262,noise,1.0,77.4,v1.0.0
thx-000240,tec-017,req-016174,electrical,0.956,20.98,v1.0.0
thx-000241,tec-030,req-005758,fire safety,1.0,13.66,v1.0.0
thx-000242,tec-011,req-014142,parking,0.695,81.67,v1.0.0
thx-000243,tec-012,req-009563,fire safety,1.0,45.15,v1.0.0
thx-000244,tec-008,req-010237,water supply,0.85,4.05,v1.0.0
thx-000245,tec-006,req-013398,parking,0.756,142.42,v1.0.0
thx-000246,tec-028,req-004259,security,1.0,3.05,v1.0.0
thx-000247,tec-003,req-013449,noise,0.864,11.0,v1.0.0
thx-000248,tec-016,req-018028,parking,0.725,43.85,v1.0.0
thx-000249,tec-037,req-001315,water supply,0.516,3.51,v1.0.0
thx-000250,tec-036,req-004232,plumbing,0.549,54.78,v1.0.0
thx-000251,tec-015,req-000378,fire safety,1.0,13.31,v1.0.0
thx-000252,tec-021,req-015585,electrical,0.877,17.89,v1.0.0
thx-000253,tec-046,req-021171,water leakage,0.954,11.05,v1.0.0
thx-000254,tec-041,req-000889,water supply,0.877,81.74,v1.0.0
thx-000255,tec-024,req-000238,parking,0.933,106.46,v1.0.0
thx-000256,tec-007,req-013093,lift,0.793,12.4,v1.0.0
thx-000257,tec-048,req-003678,electrical,0.536,142.42,v1.0.0
thx-000258,tec-001,req-007606,hvac,0.615,29.46,v1.0.0
thx-000259,tec-026,req-002261,parking,1.0,50.75,v1.0.0
thx-000260,tec-010,req-000725,water supply,1.0,8.84,v1.0.0
thx-000261,tec-021,req-006771,electrical,0.687,5.12,v1.0.0
thx-000262,tec-030,req-002355,water leakage,1.0,13.72,v1.0.0
thx-000263,tec-020,req-004777,lift,0.836,3.51,v1.0.0
thx-000264,tec-016,req-016130,hvac,0.763,19.0,v1.0.0
thx-000265,tec-012,req-009273,noise,1.0,40.1,v1.0.0
thx-000266,tec-055,req-004963,fire safety,0.705,3.69,v1.0.0
thx-000267,tec-014,req-013868,water supply,0.823,24.45,v1.0.0
thx-000268,tec-025,req-003715,hvac,0.997,46.7,v1.0.0
thx-000269,tec-004,req-020600,electrical,0.703,12.99,v1.0.0
thx-000270,tec-022,req-013414,security,1.0,13.0,v1.0.0
thx-000271,tec-026,req-001742,noise,0.999,73.44,v1.0.0
thx-000272,tec-003,req-015311,fire safety,1.0,5.16,v1.0.0
thx-000273,tec-006,req-000992,noise,0.564,44.82,v1.0.0
thx-000274,tec-006,req-010079,fire safety,0.675,9.26,v1.0.0
thx-000275,tec-025,req-009415,security,1.0,2.16,v1.0.0
thx-000276,tec-009,req-015667,hvac,0.829,82.67,v1.0.0
thx-000277,tec-007,req-009119,electrical,0.909,10.99,v1.0.0
thx-000278,tec-022,req-008947,electrical,0.912,14.06,v1.0.0
thx-000279,tec-058,req-007220,electrical,0.801,68.99,v1.0.0
thx-000280,tec-010,req-021089,noise,1.0,13.66,v1.0.0
thx-000281,tec-027,req-007463,hvac,0.958,13.48,v1.0.0
thx-000282,tec-028,req-013306,security,1.0,20.97,v1.0.0
thx-000283,tec-031,req-010890,water supply,0.75,13.66,v1.0.0
thx-000284,tec-005,req-015412,parking,0.665,25.8,v1.0.0
thx-000285,tec-001,req-005949,lift,0.58,30.63,v1.0.0
thx-000286,tec-012,req-002940,water leakage,1.0,1.23,v1.0.0
thx-000287,tec-076,req-015045,fire safety,0.851,3.67,v1.0.0
thx-000288,tec-019,req-008280,noise,0.924,55.46,v1.0.0
thx-000289,tec-012,req-010187,water supply,1.0,8.7,v1.0.0
thx-000290,tec-010,req-005569,parking,1.0,60.63,v1.0.0
thx-000291,tec-014,req-013613,parking,0.877,86.17,v1.0.0
thx-000292,tec-012,req-016737,parking,1.0,75.07,v1.0.0
thx-000293,tec-006,req-016403,security,0.679,3.39,v1.0.0
thx-000294,tec-004,req-013711,parking,0.897,8.02,v1.0.0
thx-000295,tec-015,req-001067,noise,1.0,47.24,v1.0.0
thx-000296,tec-050,req-021134,fire safety,1.0,3.11,v1.0.0
thx-000297,tec-051,req-012381,fire safety,1.0,1.58,v1.0.0
thx-000298,tec-080,req-005944,security,0.877,1.34,v1.0.0
thx-000299,tec-067,req-019134,hvac,0.978,39.03,v1.0.0
thx-000300,tec-045,req-003096,water leakage,0.953,1.44,v1.0.0
thx-000301,tec-001,req-019121,noise,0.599,13.66,v1.0.0
thx-000302,tec-011,req-018224,hvac,0.815,13.66,v1.0.0
thx-000303,tec-011,req-003766,water leakage,0.582,18.33,v1.0.0
thx-000304,tec-011,req-019922,water supply,0.61,6.73,v1.0.0
thx-000305,tec-009,req-020422,parking,0.682,97.53,v1.0.0
thx-000306,tec-003,req-001093,electrical,0.926,0.99,v1.0.0
thx-000307,tec-010,req-005124,hvac,1.0,12.84,v1.0.0
thx-000308,tec-043,req-018964,water supply,0.852,16.04,v1.0.0
thx-000309,tec-015,req-008659,plumbing,1.0,29.48,v1.0.0
thx-000310,tec-011,req-008797,water leakage,0.597,8.0,v1.0.0
thx-000311,tec-045,req-009948,water leakage,0.805,4.68,v1.0.0
thx-000312,tec-025,req-008457,noise,0.954,13.0,v1.0.0
thx-000313,tec-001,req-005532,fire safety,0.552,13.66,v1.0.0
thx-000314,tec-006,req-021209,electrical,0.647,34.41,v1.0.0
thx-000315,tec-020,req-016753,electrical,0.886,35.82,v1.0.0
thx-000316,tec-045,req-010364,water supply,1.0,45.97,v1.0.0
thx-000317,tec-001,req-021452,noise,0.877,142.42,v1.0.0
thx-000318,tec-026,req-017610,water leakage,0.988,14.36,v1.0.0
thx-000319,tec-015,req-006441,water leakage,1.0,12.25,v1.0.0
thx-000320,tec-023,req-017814,water supply,0.974,8.44,v1.0.0
thx-000321,tec-017,req-010358,electrical,1.0,44.94,v1.0.0
thx-000322,tec-025,req-007407,electrical,0.966,11.75,v1.0.0
thx-000323,tec-037,req-001427,plumbing,0.676,69.44,v1.0.0
thx-000324,tec-027,req-002403,electrical,0.939,35.43,v1.0.0
thx-000325,tec-003,req-011503,parking,1.0,24.58,v1.0.0
thx-000326,tec-016,req-001340,parking,0.709,28.94,v1.0.0
thx-000327,tec-068,req-021051,hvac,0.921,25.01,v1.0.0
thx-000328,tec-055,req-016741,electrical,0.936,28.49,v1.0.0
thx-000329,tec-001,req-009722,electrical,0.482,7.92,v1.0.0
thx-000330,tec-024,req-006518,fire safety,0.826,10.07,v1.0.0
thx-000331,tec-010,req-021114,electrical,0.931,41.41,v1.0.0
thx-000332,tec-054,req-015962,fire safety,0.683,0.99,v1.0.0
thx-000333,tec-004,req-020249,security,0.776,2.04,v1.0.0
thx-000334,tec-019,req-016476,fire safety,1.0,2.81,v1.0.0
thx-000335,tec-010,req-004138,parking,1.0,8.22,v1.0.0
thx-000336,tec-037,req-016867,water leakage,0.626,13.66,v1.0.0
thx-000337,tec-004,req-012084,plumbing,0.917,128.92,v1.0.0
thx-000338,tec-017,req-021140,lift,0.877,2.34,v1.0.0
thx-000339,tec-026,req-018867,water leakage,0.877,2.91,v1.0.0
thx-000340,tec-020,req-010126,plumbing,0.938,19.01,v1.0.0
thx-000341,tec-010,req-002078,hvac,1.0,93.36,v1.0.0
thx-000342,tec-019,req-004333,parking,0.923,15.91,v1.0.0
thx-000343,tec-007,req-016596,security,0.842,3.21,v1.0.0
thx-000344,tec-024,req-009003,plumbing,0.812,4.39,v1.0.0
thx-000345,tec-002,req-011784,security,0.679,2.26,v1.0.0
thx-000346,tec-004,req-014139,fire safety,0.801,4.45,v1.0.0
thx-000347,tec-031,req-016611,water leakage,0.734,17.4,v1.0.0
thx-000348,tec-022,req-016547,water leakage,1.0,2.9,v1.0.0
thx-000349,tec-014,req-013943,water leakage,0.759,1.6,v1.0.0
thx-000350,tec-024,req-013049,electrical,0.961,17.92,v1.0.0
thx-000351,tec-025,req-003082,electrical,0.867,96.45,v1.0.0
thx-000352,tec-003,req-005518,water supply,1.0,25.39,v1.0.0
thx-000353,tec-012,req-007316,electrical,0.877,6.44,v1.0.0
thx-000354,tec-035,req-017572,plumbing,0.784,46.16,v1.0.0
thx-000355,tec-036,req-003535,plumbing,0.664,13.66,v1.0.0
thx-000356,tec-001,req-009187,hvac,0.542,142.42,v1.0.0
thx-000357,tec-019,req-014899,parking,0.947,38.08,v1.0.0
thx-000358,tec-001,req-003094,noise,0.504,65.03,v1.0.0
thx-000359,tec-007,req-012279,fire safety,0.838,5.14,v1.0.0
thx-000360,tec-003,req-011507,lift,0.877,3.84,v1.0.0
thx-000361,tec-078,req-011925,fire safety,0.555,8.1,v1.0.0
thx-000362,tec-018,req-020390,lift,0.896,7.46,v1.0.0
thx-000363,tec-002,req-005722,fire safety,0.779,5.12,v1.0.0
thx-000364,tec-009,req-007313,water supply,0.916,13.19,v1.0.0
thx-000365,tec-056,req-020372,electrical,0.603,64.62,v1.0.0
thx-000366,tec-012,req-001065,noise,0.872,38.3,v1.0.0
thx-000367,tec-013,req-008495,lift,0.715,1.41,v1.0.0
thx-000368,tec-006,req-014917,security,0.877,40.15,v1.0.0
thx-000369,tec-019,req-003015,plumbing,1.0,34.57,v1.0.0
thx-000370,tec-027,req-004944,noise,1.0,39.85,v1.0.0
thx-000371,tec-041,req-006287,water leakage,1.0,3.95,v1.0.0
thx-000372,tec-003,req-003406,hvac,1.0,10.84,v1.0.0
thx-000373,tec-012,req-006702,lift,1.0,2.05,v1.0.0
thx-000374,tec-026,req-009963,fire safety,1.0,8.41,v1.0.0
thx-000375,tec-009,req-006887,water leakage,0.816,6.24,v1.0.0
thx-000376,tec-035,req-016836,plumbing,0.943,5.73,v1.0.0
thx-000377,tec-027,req-004835,parking,1.0,46.63,v1.0.0
thx-000378,tec-048,req-013291,fire safety,0.522,25.35,v1.0.0
thx-000379,tec-066,req-007131,hvac,1.0,4.54,v1.0.0
thx-000380,tec-041,req-004174,water supply,1.0,10.58,v1.0.0
thx-000381,tec-071,req-015199,lift,0.855,7.12,v1.0.0
thx-000382,tec-018,req-002590,hvac,0.803,10.69,v1.0.0
thx-000383,tec-012,req-020293,water supply,0.863,24.51,v1.0.0
thx-000384,tec-009,req-019090,fire safety,0.644,4.97,v1.0.0
thx-000385,tec-072,req-012272,lift,0.761,4.23,v1.0.0
thx-000386,tec-011,req-014080,electrical,0.673,9.4,v1.0.0
thx-000387,tec-037,req-000524,water leakage,0.587,18.7,v1.0.0
thx-000388,tec-003,req-011003,parking,1.0,59.28,v1.0.0
thx-000389,tec-020,req-004036,electrical,0.918,52.97,v1.0.0
thx-000390,tec-010,req-021447,parking,0.973,53.39,v1.0.0
thx-000391,tec-027,req-007155,fire safety,0.998,4.11,v1.0.0
thx-000392,tec-004,req-014177,electrical,0.797,17.83,v1.0.0
thx-000393,tec-027,req-000518,noise,0.947,100.8,v1.0.0
thx-000394,tec-029,req-009388,water supply,0.825,14.37,v1.0.0
thx-000395,tec-018,req-009452,lift,0.92,8.49,v1.0.0
thx-000396,tec-019,req-000927,parking,0.963,21.68,v1.0.0
thx-000397,tec-016,req-014566,noise,0.815,33.66,v1.0.0
thx-000398,tec-012,req-007465,lift,0.899,7.24,v1.0.0
thx-000399,tec-053,req-003668,fire safety,0.971,4.76,v1.0.0
thx-000400,tec-036,req-018137,water supply,0.798,100.84,v1.0.0
