availability_id,technician_id,date,shift,availability,dataset_version
avl-000041,tec-001,2024-07-15,full day,available,v1.0.0
avl-000042,tec-001,2024-07-16,full day,available,v1.0.0
avl-000043,tec-001,2024-07-17,full day,leave,v1.0.0
avl-000044,tec-001,2024-07-18,full day,leave,v1.0.0
avl-000045,tec-001,2024-07-19,full day,busy,v1.0.0
avl-000046,tec-001,2024-07-20,full day,available,v1.0.0
avl-000047,tec-001,2024-07-21,full day,available,v1.0.0
avl-000048,tec-001,2025-03-25,full day,available,v1.0.0
avl-000049,tec-001,2024-07-23,full day,available,v1.0.0
avl-000050,tec-001,2024-07-24,full day,busy,v1.0.0
avl-000051,tec-001,2024-07-25,full day,available,v1.0.0
avl-000052,tec-001,2024-07-26,full day,available,v1.0.0
avl-000053,tec-001,2024-07-27,full day,available,v1.0.0
avl-000054,tec-001,2025-03-25,full day,available,v1.0.0
avl-000055,tec-001,2024-07-29,full day,leave,v1.0.0
avl-000056,tec-001,2024-07-30,full day,available,v1.0.0
avl-000057,tec-001,2024-07-31,full day,busy,v1.0.0
avl-000058,tec-001,2024-08-01,full day,available,v1.0.0
avl-000059,tec-001,2024-08-02,full day,available,v1.0.0
avl-000060,tec-001,2024-08-03,full day,available,v1.0.0
avl-000061,tec-001,2024-08-04,full day,available,v1.0.0
avl-000062,tec-001,2024-08-05,full day,available,v1.0.0
avl-000063,tec-001,2024-08-06,full day,available,v1.0.0
avl-000064,tec-001,2024-08-07,full day,busy,v1.0.0
avl-000065,tec-001,2024-08-08,full day,available,v1.0.0
avl-000066,tec-001,2024-08-09,full day,available,v1.0.0
avl-000067,tec-001,2024-08-10,full day,available,v1.0.0
avl-000068,tec-001,2024-08-11,full day,available,v1.0.0
avl-000069,tec-001,2024-08-12,full day,available,v1.0.0
avl-000070,tec-001,2024-08-13,full day,available,v1.0.0
avl-000071,tec-001,2025-03-25,full day,leave,v1.0.0
avl-000072,tec-001,2024-08-15,full day,available,v1.0.0
avl-000073,tec-001,2024-08-16,full day,available,v1.0.0
avl-000074,tec-001,2024-08-17,full day,available,v1.0.0
avl-000075,tec-001,2024-08-18,full day,available,v1.0.0
avl-000076,tec-001,2024-08-19,full day,leave,v1.0.0
avl-000077,tec-001,2024-08-20,full day,available,v1.0.0
avl-000078,tec-001,2024-08-21,full day,leave,v1.0.0
avl-000079,tec-001,2024-08-22,full day,available,v1.0.0
avl-000080,tec-001,2024-08-23,full day,available,v1.0.0
avl-000081,tec-001,2024-08-24,full day,busy,v1.0.0
avl-000082,tec-001,2024-08-25,full day,available,v1.0.0
avl-000083,tec-001,2025-03-25,full day,available,v1.0.0
avl-000084,tec-001,2024-08-27,full day,leave,v1.0.0
avl-000085,tec-001,2024-08-28,full day,available,v1.0.0
avl-000086,tec-001,2024-08-29,full day,available,v1.0.0
avl-000087,tec-001,2024-08-30,full day,available,v1.0.0
avl-000088,tec-001,2024-08-31,full day,available,v1.0.0
avl-000089,tec-001,2024-09-01,full day,available,v1.0.0
avl-000090,tec-001,2024-09-02,full day,available,v1.0.0
avl-000091,tec-001,2024-09-03,full day,available,v1.0.0
avl-000092,tec-001,2024-09-04,full day,leave,v1.0.0
avl-000093,tec-001,2024-09-05,full day,busy,v1.0.0
avl-000094,tec-001,2024-09-06,full day,available,v1.0.0
avl-000095,tec-001,2024-09-07,full day,busy,v1.0.0
avl-000096,tec-001,2024-09-08,full day,available,v1.0.0
avl-000097,tec-001,2024-09-09,full day,available,v1.0.0
avl-000098,tec-001,2024-09-10,full day,available,v1.0.0
avl-000099,tec-001,2024-09-11,full day,available,v1.0.0
avl-000100,tec-001,2024-09-12,full day,available,v1.0.0
avl-000101,tec-001,2024-09-13,full day,busy,v1.0.0
avl-000102,tec-001,2024-09-14,full day,available,v1.0.0
avl-000103,tec-001,2024-09-15,full day,available,v1.0.0
avl-000104,tec-001,2024-09-16,full day,available,v1.0.0
avl-000105,tec-001,2024-09-17,full day,available,v1.0.0
avl-000106,tec-001,2024-09-18,full day,busy,v1.0.0
avl-000107,tec-001,2024-09-19,full day,available,v1.0.0
avl-000108,tec-001,2024-09-20,full day,leave,v1.0.0
avl-000109,tec-001,2024-09-21,full day,leave,v1.0.0
avl-000110,tec-001,2024-09-22,full day,available,v1.0.0
avl-000111,tec-001,2024-09-23,full day,available,v1.0.0
avl-000112,tec-001,2024-09-24,full day,busy,v1.0.0
avl-000113,tec-001,2024-09-25,full day,available,v1.0.0
avl-000114,tec-001,2024-09-26,full day,available,v1.0.0
avl-000115,tec-001,2024-09-27,full day,available,v1.0.0
avl-000116,tec-001,2025-03-25,full day,available,v1.0.0
avl-000117,tec-001,2024-09-29,full day,busy,v1.0.0
avl-000118,tec-001,2024-09-30,full day,available,v1.0.0
avl-000119,tec-001,2024-10-01,full day,available,v1.0.0
avl-000120,tec-001,2024-10-02,full day,available,v1.0.0
avl-000121,tec-001,2024-10-03,full day,busy,v1.0.0
avl-000122,tec-001,2024-10-04,full day,available,v1.0.0
avl-000123,tec-001,2024-10-05,full day,busy,v1.0.0
avl-000124,tec-001,2024-10-06,full day,available,v1.0.0
avl-000125,tec-001,2024-10-07,full day,available,v1.0.0
avl-000126,tec-001,2024-10-08,full day,busy,v1.0.0
avl-000127,tec-001,2024-10-09,full day,busy,v1.0.0
avl-000128,tec-001,2024-10-10,full day,available,v1.0.0
avl-000129,tec-001,2024-10-11,full day,available,v1.0.0
avl-000130,tec-001,2024-10-12,full day,available,v1.0.0
avl-000131,tec-001,2024-10-13,full day,available,v1.0.0
avl-000132,tec-001,2024-10-14,full day,available,v1.0.0
avl-000133,tec-001,2024-10-15,full day,available,v1.0.0
avl-000134,tec-001,2024-10-16,full day,leave,v1.0.0
avl-000135,tec-001,2024-10-17,full day,available,v1.0.0
avl-000136,tec-001,2024-10-18,full day,available,v1.0.0
avl-000137,tec-001,2024-10-19,full day,available,v1.0.0
avl-000138,tec-001,2024-10-20,full day,leave,v1.0.0
avl-000139,tec-001,2025-03-25,full day,available,v1.0.0
avl-000140,tec-001,2024-10-22,full day,available,v1.0.0
avl-000141,tec-001,2024-10-23,full day,busy,v1.0.0
avl-000142,tec-001,2024-10-24,full day,available,v1.0.0
avl-000143,tec-001,2024-10-25,full day,available,v1.0.0
avl-000144,tec-001,2024-10-26,full day,available,v1.0.0
avl-000145,tec-001,2024-10-27,full day,available,v1.0.0
avl-000146,tec-001,2024-10-28,full day,available,v1.0.0
avl-000147,tec-001,2024-10-29,full day,available,v1.0.0
avl-000148,tec-001,2024-10-30,full day,available,v1.0.0
avl-000149,tec-001,2024-10-31,full day,busy,v1.0.0
avl-000150,tec-001,2024-11-01,full day,available,v1.0.0
avl-000151,tec-001,2024-11-02,full day,available,v1.0.0
avl-000152,tec-001,2024-11-03,full day,available,v1.0.0
avl-000153,tec-001,2024-11-04,full day,leave,v1.0.0
avl-000154,tec-001,2024-11-05,full day,available,v1.0.0
avl-000155,tec-001,2024-11-06,full day,available,v1.0.0
avl-000156,tec-001,2024-11-07,full day,leave,v1.0.0
avl-000157,tec-001,2024-11-08,full day,busy,v1.0.0
avl-000158,tec-001,2024-11-09,full day,available,v1.0.0
avl-000159,tec-001,2024-11-10,full day,leave,v1.0.0
avl-000160,tec-001,2024-11-11,full day,available,v1.0.0
avl-000161,tec-001,2024-11-12,full day,available,v1.0.0
avl-000162,tec-001,2024-11-13,full day,available,v1.0.0
avl-000163,tec-001,2024-11-14,full day,available,v1.0.0
avl-000164,tec-001,2024-11-15,full day,available,v1.0.0
avl-000165,tec-001,2024-11-16,full day,busy,v1.0.0
avl-000166,tec-001,2024-11-17,full day,leave,v1.0.0
avl-000167,tec-001,2024-11-18,full day,available,v1.0.0
avl-000168,tec-001,2024-11-19,full day,busy,v1.0.0
avl-000169,tec-001,2024-11-20,full day,available,v1.0.0
avl-000170,tec-001,2024-11-21,full day,busy,v1.0.0
avl-000171,tec-001,2024-11-22,full day,available,v1.0.0
avl-000172,tec-001,2024-11-23,full day,available,v1.0.0
avl-000173,tec-001,2024-11-24,full day,available,v1.0.0
avl-000174,tec-001,2024-11-25,full day,leave,v1.0.0
avl-000175,tec-001,2024-11-26,full day,available,v1.0.0
avl-000176,tec-001,2025-03-25,full day,busy,v1.0.0
avl-000177,tec-001,2024-11-28,full day,available,v1.0.0
avl-000178,tec-001,2024-11-29,full day,available,v1.0.0
avl-000179,tec-001,2024-11-30,full day,available,v1.0.0
avl-000180,tec-001,2024-12-01,full day,available,v1.0.0
avl-000181,tec-001,2024-12-02,full day,available,v1.0.0
avl-000182,tec-001,2024-12-03,full day,available,v1.0.0
avl-000183,tec-001,2024-12-04,full day,available,v1.0.0
avl-000184,tec-001,2024-12-05,full day,leave,v1.0.0
avl-000185,tec-001,2024-12-06,full day,busy,v1.0.0
avl-000186,tec-001,2024-12-07,full day,leave,v1.0.0
avl-000187,tec-001,2024-12-08,full day,leave,v1.0.0
avl-000188,tec-001,2024-12-09,full day,available,v1.0.0
avl-000189,tec-001,2025-03-25,full day,available,v1.0.0
avl-000190,tec-001,2024-12-11,full day,available,v1.0.0
avl-000191,tec-001,2025-03-25,full day,available,v1.0.0
avl-000192,tec-001,2024-12-13,full day,leave,v1.0.0
avl-000193,tec-001,2024-12-14,full day,available,v1.0.0
avl-000194,tec-001,2024-12-15,full day,available,v1.0.0
avl-000195,tec-001,2024-12-16,full day,busy,v1.0.0
avl-000196,tec-001,2024-12-17,full day,leave,v1.0.0
avl-000197,tec-001,2024-12-18,full day,available,v1.0.0
avl-000198,tec-001,2024-12-19,full day,available,v1.0.0
avl-000199,tec-001,2024-12-20,full day,available,v1.0.0
avl-000200,tec-001,2024-12-21,full day,available,v1.0.0
avl-000201,tec-001,2024-12-22,full day,busy,v1.0.0
avl-000202,tec-001,2024-12-23,full day,available,v1.0.0
avl-000203,tec-001,2024-12-24,full day,available,v1.0.0
avl-000204,tec-001,2024-12-25,full day,leave,v1.0.0
avl-000205,tec-001,2025-03-25,full day,available,v1.0.0
avl-000206,tec-001,2024-12-27,full day,available,v1.0.0
avl-000207,tec-001,2024-12-28,full day,available,v1.0.0
avl-000208,tec-001,2024-12-29,full day,busy,v1.0.0
avl-000209,tec-001,2024-12-30,full day,available,v1.0.0
avl-000210,tec-001,2024-12-31,full day,available,v1.0.0
avl-000211,tec-001,2025-01-01,full day,available,v1.0.0
avl-000212,tec-001,2025-01-02,full day,available,v1.0.0
avl-000213,tec-001,2025-01-03,full day,available,v1.0.0
avl-000214,tec-001,2025-01-04,full day,available,v1.0.0
avl-000215,tec-001,2025-01-05,full day,available,v1.0.0
avl-000216,tec-001,2025-01-06,full day,leave,v1.0.0
avl-000217,tec-001,2025-01-07,full day,available,v1.0.0
avl-000218,tec-001,2025-01-08,full day,available,v1.0.0
avl-000219,tec-001,2025-01-09,full day,busy,v1.0.0
avl-000220,tec-001,2025-01-10,full day,leave,v1.0.0
avl-000221,tec-001,2025-01-11,full day,available,v1.0.0
avl-000222,tec-001,2025-01-12,full day,available,v1.0.0
avl-000223,tec-001,2025-01-13,full day,busy,v1.0.0
avl-000224,tec-001,2025-01-14,full day,busy,v1.0.0
avl-000225,tec-001,2025-01-15,full day,available,v1.0.0
avl-000226,tec-001,2025-01-16,full day,available,v1.0.0
avl-000227,tec-001,2025-01-17,full day,available,v1.0.0
avl-000228,tec-001,2025-01-18,full day,available,v1.0.0
avl-000229,tec-001,2025-03-25,full day,available,v1.0.0
avl-000230,tec-001,2025-01-20,full day,available,v1.0.0
avl-000231,tec-001,2025-01-21,full day,available,v1.0.0
avl-000232,tec-001,2025-01-22,full day,available,v1.0.0
avl-000233,tec-001,2025-03-25,full day,leave,v1.0.0
avl-000234,tec-001,2025-01-24,full day,available,v1.0.0
avl-000235,tec-001,2025-01-25,full day,available,v1.0.0
avl-000236,tec-001,2025-01-26,full day,available,v1.0.0
avl-000237,tec-001,2025-01-27,full day,available,v1.0.0
avl-000238,tec-001,2025-01-28,full day,leave,v1.0.0
avl-000239,tec-001,2025-01-29,full day,available,v1.0.0
avl-000240,tec-001,2025-01-30,full day,available,v1.0.0
avl-000241,tec-001,2025-01-31,full day,available,v1.0.0
avl-000242,tec-001,2025-02-01,full day,available,v1.0.0
avl-000243,tec-001,2025-02-02,full day,available,v1.0.0
avl-000244,tec-001,2025-03-25,full day,busy,v1.0.0
avl-000245,tec-001,2025-02-04,full day,leave,v1.0.0
avl-000246,tec-001,2025-02-05,full day,available,v1.0.0
avl-000247,tec-001,2025-02-06,full day,leave,v1.0.0
avl-000248,tec-001,2025-02-07,full day,available,v1.0.0
avl-000249,tec-001,2025-02-08,full day,available,v1.0.0
avl-000250,tec-001,2025-02-09,full day,busy,v1.0.0
avl-000251,tec-001,2025-02-10,full day,available,v1.0.0
avl-000252,tec-001,2025-02-11,full day,busy,v1.0.0
avl-000253,tec-001,2025-02-12,full day,available,v1.0.0
avl-000254,tec-001,2025-02-13,full day,available,v1.0.0
avl-000255,tec-001,2025-02-14,full day,available,v1.0.0
avl-000256,tec-001,2025-02-15,full day,busy,v1.0.0
avl-000257,tec-001,2025-03-25,full day,available,v1.0.0
avl-000258,tec-001,2025-02-17,full day,available,v1.0.0
avl-000259,tec-001,2025-02-18,full day,available,v1.0.0
avl-000260,tec-001,2025-02-19,full day,busy,v1.0.0
avl-000261,tec-001,2025-02-20,full day,busy,v1.0.0
avl-000262,tec-001,2025-02-21,full day,available,v1.0.0
avl-000263,tec-001,2025-02-22,full day,available,v1.0.0
avl-000264,tec-001,2025-02-23,full day,available,v1.0.0
avl-000265,tec-001,2025-02-24,full day,available,v1.0.0
avl-000266,tec-001,2025-02-25,full day,available,v1.0.0
avl-000267,tec-001,2025-02-26,full day,available,v1.0.0
avl-000268,tec-001,2025-02-27,full day,available,v1.0.0
avl-000269,tec-001,2025-02-28,full day,available,v1.0.0
avl-000270,tec-001,2025-03-01,full day,available,v1.0.0
avl-000271,tec-001,2025-03-02,full day,available,v1.0.0
avl-000272,tec-001,2025-03-03,full day,busy,v1.0.0
avl-000273,tec-001,2025-03-04,full day,available,v1.0.0
avl-000274,tec-001,2025-03-05,full day,available,v1.0.0
avl-000275,tec-001,2025-03-06,full day,available,v1.0.0
avl-000276,tec-001,2025-03-07,full day,busy,v1.0.0
avl-000277,tec-001,2025-03-08,full day,available,v1.0.0
avl-000278,tec-001,2025-03-09,full day,busy,v1.0.0
avl-000279,tec-001,2025-03-10,full day,available,v1.0.0
avl-000280,tec-001,2025-03-11,full day,available,v1.0.0
avl-000281,tec-001,2025-03-12,full day,available,v1.0.0
avl-000282,tec-001,2025-03-13,full day,available,v1.0.0
avl-000283,tec-001,2025-03-14,full day,available,v1.0.0
avl-000284,tec-001,2025-03-15,full day,available,v1.0.0
avl-000285,tec-001,2025-03-16,full day,available,v1.0.0
avl-000286,tec-001,2025-03-17,full day,leave,v1.0.0
avl-000287,tec-001,2025-03-18,full day,available,v1.0.0
avl-000288,tec-001,2025-03-19,full day,available,v1.0.0
avl-000289,tec-001,2025-03-20,full day,available,v1.0.0
avl-000290,tec-001,2025-03-25,full day,available,v1.0.0
avl-000291,tec-001,2025-03-22,full day,available,v1.0.0
avl-000292,tec-001,2025-03-23,full day,leave,v1.0.0
avl-000293,tec-001,2025-03-24,full day,busy,v1.0.0
avl-000294,tec-001,2025-03-25,full day,available,v1.0.0
avl-000295,tec-001,2025-03-26,full day,available,v1.0.0
avl-000296,tec-001,2025-03-27,full day,available,v1.0.0
avl-000297,tec-001,2025-03-28,full day,busy,v1.0.0
avl-000298,tec-001,2025-03-29,full day,busy,v1.0.0
avl-000299,tec-001,2025-03-30,full day,available,v1.0.0
avl-000300,tec-001,2025-03-31,full day,available,v1.0.0
avl-000301,tec-001,2025-04-01,full day,busy,v1.0.0
avl-000302,tec-001,2025-04-02,full day,available,v1.0.0
avl-000303,tec-001,2025-04-03,full day,available,v1.0.0
avl-000304,tec-001,2025-04-04,full day,busy,v1.0.0
avl-000305,tec-001,2025-04-05,full day,leave,v1.0.0
avl-000306,tec-001,2025-04-06,full day,available,v1.0.0
avl-000307,tec-001,2025-04-07,full day,available,v1.0.0
avl-000308,tec-001,2025-04-08,full day,available,v1.0.0
avl-000309,tec-001,2025-04-09,full day,available,v1.0.0
avl-000310,tec-001,2025-04-10,full day,leave,v1.0.0
avl-000311,tec-001,2025-04-11,full day,available,v1.0.0
avl-000312,tec-001,2025-04-12,full day,available,v1.0.0
avl-000313,tec-001,2025-04-13,full day,available,v1.0.0
avl-000314,tec-001,2025-04-14,full day,available,v1.0.0
avl-000315,tec-001,2025-04-15,full day,available,v1.0.0
avl-000316,tec-001,2025-04-16,full day,busy,v1.0.0
avl-000317,tec-001,2025-04-17,full day,available,v1.0.0
avl-000318,tec-001,2025-04-18,full day,available,v1.0.0
avl-000319,tec-001,2025-04-19,full day,available,v1.0.0
avl-000320,tec-001,2025-04-20,full day,available,v1.0.0
avl-000321,tec-001,2025-04-21,full day,busy,v1.0.0
avl-000322,tec-001,2025-04-22,full day,available,v1.0.0
avl-000323,tec-001,2025-04-23,full day,available,v1.0.0
avl-000324,tec-001,2025-04-24,full day,available,v1.0.0
avl-000325,tec-001,2025-04-25,full day,available,v1.0.0
avl-000326,tec-001,2025-04-26,full day,available,v1.0.0
avl-000327,tec-001,2025-04-27,full day,leave,v1.0.0
avl-000328,tec-001,2025-04-28,full day,available,v1.0.0
avl-000329,tec-001,2025-04-29,full day,available,v1.0.0
avl-000330,tec-001,2025-04-30,full day,available,v1.0.0
avl-000331,tec-001,2025-05-01,full day,available,v1.0.0
avl-000332,tec-001,2025-05-02,full day,busy,v1.0.0
avl-000333,tec-001,2025-05-03,full day,available,v1.0.0
avl-000334,tec-001,2025-05-04,full day,available,v1.0.0
avl-000335,tec-001,2025-05-05,full day,busy,v1.0.0
avl-000336,tec-001,2025-05-06,full day,available,v1.0.0
avl-000337,tec-001,2025-05-07,full day,available,v1.0.0
avl-000338,tec-001,2025-05-08,full day,leave,v1.0.0
avl-000339,tec-001,2025-05-09,full day,busy,v1.0.0
avl-000340,tec-001,2025-05-10,full day,available,v1.0.0
avl-000341,tec-001,2025-05-11,full day,available,v1.0.0
avl-000342,tec-001,2025-03-25,full day,leave,v1.0.0
avl-000343,tec-001,2025-05-13,full day,available,v1.0.0
avl-000344,tec-001,2025-05-14,full day,available,v1.0.0
avl-000345,tec-001,2025-05-15,full day,leave,v1.0.0
avl-000346,tec-001,2025-05-16,full day,busy,v1.0.0
avl-000347,tec-001,2025-05-17,full day,available,v1.0.0
avl-000348,tec-001,2025-05-18,full day,leave,v1.0.0
avl-000349,tec-001,2025-05-19,full day,available,v1.0.0
avl-000350,tec-001,2025-05-20,full day,available,v1.0.0
avl-000351,tec-001,2025-05-21,full day,available,v1.0.0
avl-000352,tec-001,2025-05-22,full day,available,v1.0.0
avl-000353,tec-001,2025-05-23,full day,available,v1.0.0
avl-000354,tec-001,2025-05-24,full day,busy,v1.0.0
avl-000355,tec-001,2025-05-25,full day,available,v1.0.0
avl-000356,tec-001,2025-05-26,full day,available,v1.0.0
avl-000357,tec-001,2025-05-27,full day,leave,v1.0.0
avl-000358,tec-001,2025-05-28,full day,busy,v1.0.0
avl-000359,tec-001,2025-05-29,full day,available,v1.0.0
avl-000360,tec-001,2025-05-30,full day,busy,v1.0.0
avl-000361,tec-001,2025-05-31,full day,available,v1.0.0
avl-000362,tec-001,2025-06-01,full day,available,v1.0.0
avl-000363,tec-001,2025-06-02,full day,available,v1.0.0
avl-000364,tec-001,2025-03-25,full day,available,v1.0.0
avl-000365,tec-001,2025-06-04,full day,available,v1.0.0
avl-000366,tec-001,2025-06-05,full day,leave,v1.0.0
avl-000367,tec-001,2025-06-06,full day,leave,v1.0.0
avl-000368,tec-001,2025-06-07,full day,leave,v1.0.0
avl-000369,tec-001,2025-06-08,full day,busy,v1.0.0
avl-000370,tec-001,2025-06-09,full day,leave,v1.0.0
avl-000371,tec-001,2025-06-10,full day,leave,v1.0.0
avl-000372,tec-001,2025-06-11,full day,available,v1.0.0
avl-000373,tec-001,2025-06-12,full day,available,v1.0.0
avl-000374,tec-001,2025-06-13,full day,leave,v1.0.0
avl-000375,tec-001,2025-06-14,full day,available,v1.0.0
avl-000376,tec-001,2025-06-15,full day,leave,v1.0.0
avl-000377,tec-001,2025-06-16,full day,available,v1.0.0
avl-000378,tec-001,2025-06-17,full day,available,v1.0.0
avl-000379,tec-001,2025-06-18,full day,available,v1.0.0
avl-000380,tec-001,2025-06-19,full day,available,v1.0.0
avl-000381,tec-001,2025-06-20,full day,available,v1.0.0
avl-000382,tec-001,2025-06-21,full day,available,v1.0.0
avl-000383,tec-001,2025-06-22,full day,available,v1.0.0
avl-000384,tec-001,2025-06-23,full day,busy,v1.0.0
avl-000385,tec-001,2025-06-24,full day,available,v1.0.0
avl-000386,tec-001,2025-06-25,full day,available,v1.0.0
avl-000387,tec-001,2025-06-26,full day,available,v1.0.0
avl-000388,tec-001,2025-06-27,full day,available,v1.0.0
avl-000389,tec-001,2025-06-28,full day,available,v1.0.0
avl-000390,tec-001,2025-06-29,full day,leave,v1.0.0
avl-000391,tec-001,2025-06-30,full day,busy,v1.0.0
avl-000392,tec-001,2025-07-01,full day,busy,v1.0.0
avl-000393,tec-001,2025-07-02,full day,available,v1.0.0
avl-000394,tec-001,2025-07-03,full day,busy,v1.0.0
avl-000395,tec-001,2025-07-04,full day,available,v1.0.0
avl-000396,tec-001,2025-07-05,full day,available,v1.0.0
avl-000397,tec-001,2025-07-06,full day,available,v1.0.0
avl-000398,tec-001,2025-07-07,full day,available,v1.0.0
avl-000399,tec-001,2025-07-08,full day,leave,v1.0.0
avl-000400,tec-001,2025-07-09,full day,available,v1.0.0
avl-000401,tec-001,2025-03-25,full day,available,v1.0.0
avl-000402,tec-001,2025-07-11,full day,available,v1.0.0
avl-000403,tec-001,2025-03-25,full day,available,v1.0.0
avl-000404,tec-001,2025-03-25,full day,available,v1.0.0
avl-000405,tec-001,2025-07-14,full day,available,v1.0.0
avl-000406,tec-001,2025-07-15,full day,available,v1.0.0
avl-000407,tec-001,2025-07-16,full day,available,v1.0.0
avl-000408,tec-001,2025-07-17,full day,available,v1.0.0
avl-000409,tec-001,2025-07-18,full day,leave,v1.0.0
avl-000410,tec-001,2025-07-19,full day,available,v1.0.0
avl-000411,tec-001,2025-07-20,full day,available,v1.0.0
avl-000412,tec-001,2025-07-21,full day,leave,v1.0.0
avl-000413,tec-001,2025-07-22,full day,available,v1.0.0
avl-000414,tec-001,2025-07-23,full day,available,v1.0.0
avl-000415,tec-001,2025-07-24,full day,available,v1.0.0
avl-000416,tec-001,2025-07-25,full day,available,v1.0.0
avl-000417,tec-001,2025-07-26,full day,busy,v1.0.0
avl-000418,tec-001,2025-07-27,full day,available,v1.0.0
avl-000419,tec-001,2025-07-28,full day,available,v1.0.0
avl-000420,tec-001,2025-07-29,full day,busy,v1.0.0
avl-000421,tec-001,2025-07-30,full day,leave,v1.0.0
avl-000422,tec-001,2025-07-31,full day,available,v1.0.0
avl-000423,tec-001,2025-08-01,full day,available,v1.0.0
avl-000424,tec-001,2025-08-02,full day,available,v1.0.0
avl-000425,tec-001,2025-08-03,full day,available,v1.0.0
avl-000426,tec-001,2025-08-04,full day,available,v1.0.0
avl-000427,tec-001,2025-08-05,full day,busy,v1.0.0
avl-000428,tec-001,2025-08-06,full day,available,v1.0.0
avl-000429,tec-001,2025-08-07,full day,available,v1.0.0
avl-000430,tec-001,2025-08-08,full day,available,v1.0.0
avl-000431,tec-001,2025-08-09,full day,available,v1.0.0
avl-000432,tec-001,2025-08-10,full day,available,v1.0.0
avl-000433,tec-001,2025-08-11,full day,available,v1.0.0
avl-000434,tec-001,2025-08-12,full day,available,v1.0.0
avl-000435,tec-001,2025-08-13,full day,busy,v1.0.0
avl-000436,tec-001,2025-08-14,full day,available,v1.0.0
avl-000437,tec-001,2025-08-15,full day,available,v1.0.0
avl-000438,tec-001,2025-08-16,full day,busy,v1.0.0
avl-000439,tec-001,2025-08-17,full day,available,v1.0.0
avl-000440,tec-001,2025-08-18,full day,available,v1.0.0
avl-000441,tec-001,2025-03-25,full day,available,v1.0.0
avl-000442,tec-001,2025-08-20,full day,available,v1.0.0
avl-000443,tec-001,2025-08-21,full day,available,v1.0.0
avl-000444,tec-001,2025-08-22,full day,available,v1.0.0
avl-000445,tec-001,2025-08-23,full day,available,v1.0.0
avl-000446,tec-001,2025-08-24,full day,available,v1.0.0
avl-000447,tec-001,2025-08-25,full day,available,v1.0.0
avl-000448,tec-001,2025-08-26,full day,leave,v1.0.0
avl-000449,tec-001,2025-08-27,full day,busy,v1.0.0
avl-000450,tec-001,2025-08-28,full day,available,v1.0.0
avl-000451,tec-001,2025-03-25,full day,available,v1.0.0
avl-000452,tec-001,2025-08-30,full day,available,v1.0.0
avl-000453,tec-001,2025-08-31,full day,available,v1.0.0
avl-000454,tec-001,2025-09-01,full day,available,v1.0.0
avl-000455,tec-001,2025-09-02,full day,available,v1.0.0
avl-000456,tec-001,2025-09-03,full day,leave,v1.0.0
avl-000457,tec-001,2025-09-04,full day,available,v1.0.0
avl-000458,tec-001,2025-09-05,full day,busy,v1.0.0
avl-000459,tec-001,2025-09-06,full day,busy,v1.0.0
avl-000460,tec-001,2025-09-07,full day,leave,v1.0.0
