asset_id,tower_id,asset_name,asset_category,manufacturer,installation_date,warranty_end,maintenance_frequency,last_service_date,asset_status,dataset_version
ast-00072,t03,t03 generator #72,generator,schindler,2024-04-02,2027-04-23,bi-annual,2025-05-11,operational,v1.0.0
ast-00073,t03,t03 hvac unit #73,hvac unit,honeywell,2006-08-17,2008-03-18,annual,2017-11-17,operational,v1.0.0
ast-00074,t03,t03 water tank #74,water tank,carrier,2018-03-26,2020-02-08,quarterly,2025-08-08,under maintenance,v1.0.0
ast-00075,t03,t03 water tank #75,water tank,schindler,2015-08-10,2018-05-01,monthly,2017-06-02,operational,v1.0.0
ast-00076,t03,t03 hvac unit #76,hvac unit,carrier,2021-04-12,2022-12-28,annual,2021-08-25,operational,v1.0.0
ast-00077,t03,t03 generator #77,generator,kone,2024-06-26,2028-01-19,monthly,2025-01-07,operational,v1.0.0
ast-00078,t03,t03 generator #78,generator,hikvision,2009-03-08,2011-09-29,annual,2012-10-26,operational,v1.0.0
ast-00079,t03,t03 hvac unit #79,hvac unit,daikin,2020-03-23,2023-09-08,quarterly,2022-03-20,operational,v1.0.0
ast-00080,t03,t03 cctv #80,cctv,daikin,2032-01-01,2027-01-03,quarterly,2024-10-18,operational,v1.0.0
ast-00081,t03,t03 fire alarm #81,fire alarm,honeywell,2024-02-05,2027-03-12,monthly,2026-03-26,failed,v1.0.0
ast-00082,t03,t03 cctv #82,cctv,honeywell,2016-07-10,2020-09-15,bi-annual,2020-12-16,operational,v1.0.0
ast-00083,t03,t03 hvac unit #83,hvac unit,carrier,2019-04-25,2024-01-25,monthly,2023-05-02,operational,v1.0.0
ast-00084,t03,t03 water tank #84,water tank,kone,2023-02-08,2024-04-03,annual,2023-05-17,operational,v1.0.0
ast-00085,t03,t03 lift #85,lift,hikvision,2014-05-26,2017-08-30,quarterly,2015-03-31,under maintenance,v1.0.0
ast-00086,t03,t03 hvac unit #86,hvac unit,cummins,2019-12-07,2021-12-22,bi-annual,2021-02-04,operational,v1.0.0
ast-00087,t03,t03 cctv #87,cctv,hikvision,2022-08-19,2027-01-03,monthly,2024-10-27,operational,v1.0.0
ast-00088,t03,t03 fire alarm #88,fire alarm,carrier,2017-11-10,2021-10-16,quarterly,2022-10-07,operational,v1.0.0
ast-00089,t03,t03 water tank #89,water tank,kone,2019-05-12,2021-05-10,bi-annual,2021-06-15,failed,v1.0.0
ast-00090,t03,t03 hvac unit #90,hvac unit,schindler,2020-07-23,2021-12-31,quarterly,2021-02-23,operational,v1.0.0
ast-00091,t03,t03 lift #91,lift,honeywell,2012-11-01,2016-06-13,quarterly,2018-08-11,under maintenance,v1.0.0
ast-00092,t03,t03 cctv #92,cctv,hikvision,2008-12-19,2012-03-17,monthly,2019-12-18,operational,v1.0.0
ast-00093,t03,t03 cctv #93,cctv,cummins,2023-08-02,2027-04-23,annual,2025-11-01,under maintenance,v1.0.0
ast-00094,t03,t03 hvac unit #94,hvac unit,daikin,2020-08-21,2024-06-15,monthly,2012-10-26,operational,v1.0.0
ast-00095,t03,t03 lift #95,lift,daikin,2010-10-13,2013-09-28,quarterly,2014-09-22,operational,v1.0.0
ast-00096,t03,t03 water tank #96,water tank,kone,2017-04-05,2019-03-07,bi-annual,2018-12-31,operational,v1.0.0
ast-00097,t03,t03 generator #97,generator,schindler,2018-12-31,2022-12-08,bi-annual,2019-06-01,operational,v1.0.0
ast-00098,t03,t03 hvac unit #98,hvac unit,kone,2019-03-06,2023-04-05,bi-annual,2026-02-03,operational,v1.0.0
ast-00099,t03,t03 hvac unit #99,hvac unit,honeywell,2006-06-29,2008-02-08,bi-annual,2022-07-25,operational,v1.0.0
ast-00100,t03,t03 generator #100,generator,cummins,2011-04-10,2014-01-05,monthly,2014-04-07,operational,v1.0.0
ast-00101,t03,t03 generator #101,generator,honeywell,2022-06-17,2024-02-19,monthly,2024-03-17,operational,v1.0.0
ast-00102,t03,t03 water pump #102,water pump,hikvision,2018-06-07,2022-01-31,bi-annual,2026-01-07,operational,v1.0.0
ast-00103,t04,t04 lift #103,lift,honeywell,2007-02-02,2009-02-18,annual,2024-01-22,operational,v1.0.0
ast-00104,t04,t04 fire alarm #104,fire alarm,otis,2025-03-18,2027-11-10,monthly,2026-01-17,under maintenance,v1.0.0
ast-00105,t04,t04 generator #105,generator,hikvision,2012-04-20,2016-08-16,quarterly,2013-01-31,operational,v1.0.0
ast-00106,t04,t04 generator #106,generator,otis,2021-06-24,2023-07-10,monthly,2025-05-02,operational,v1.0.0
ast-00107,t04,t04 generator #107,generator,schindler,2007-03-01,2010-12-01,annual,2018-08-27,operational,v1.0.0
ast-00108,t04,t04 lift #108,lift,schindler,2021-06-03,2025-09-06,quarterly,2021-12-08,operational,v1.0.0
ast-00109,t04,t04 fire alarm #109,fire alarm,carrier,2022-06-29,2026-11-22,monthly,2023-05-15,operational,v1.0.0
ast-00110,t04,t04 hvac unit #110,hvac unit,hikvision,2013-01-17,2016-07-12,monthly,2020-07-15,operational,v1.0.0
ast-00111,t04,t04 lift #111,lift,carrier,2014-06-09,2017-09-15,bi-annual,2022-11-30,operational,v1.0.0
ast-00112,t04,t04 water tank #112,water tank,daikin,2006-07-28,2010-06-28,annual,2025-01-02,under maintenance,v1.0.0
ast-00113,t04,t04 water tank #113,water tank,carrier,2015-09-19,2016-10-16,monthly,2021-05-26,operational,v1.0.0
ast-00114,t04,t04 generator #114,generator,otis,2013-11-26,2016-01-11,bi-annual,2018-05-07,operational,v1.0.0
ast-00115,t04,t04 water pump #115,water pump,hikvision,2006-09-27,2011-04-18,annual,2019-09-30,operational,v1.0.0
ast-00116,t04,t04 cctv #116,cctv,honeywell,2010-12-21,2014-11-15,annual,2011-08-01,operational,v1.0.0
ast-00117,t04,t04 cctv #117,cctv,schindler,2017-11-22,2020-03-24,quarterly,2018-07-18,failed,v1.0.0
ast-00118,t04,t01 cctv #33,water tank,kone,2014-07-23,2017-08-07,bi-annual,2012-10-26,operational,v1.0.0
ast-00119,t04,t04 lift #119,lift,daikin,2032-01-01,2015-11-27,annual,2018-06-10,operational,v1.0.0
ast-00120,t04,t04 water pump #120,water pump,cummins,2007-06-12,2008-12-06,bi-annual,2013-06-19,operational,v1.0.0
ast-00121,t04,t04 fire alarm #121,fire alarm,honeywell,2015-05-06,2017-05-01,quarterly,2021-01-07,operational,v1.0.0
ast-00122,t04,t04 hvac unit #122,hvac unit,honeywell,2010-01-21,2013-05-04,bi-annual,2026-05-16,operational,v1.0.0
ast-00123,t04,t04 cctv #123,cctv,daikin,2021-11-20,2025-09-06,quarterly,2024-04-21,operational,v1.0.0
ast-00124,t04,t04 cctv #124,cctv,carrier,2016-07-24,2020-10-11,monthly,2026-06-04,operational,v1.0.0
ast-00125,t04,t04 lift #125,lift,honeywell,2010-03-13,2013-11-02,monthly,2014-03-06,operational,v1.0.0
ast-00126,t04,t04 generator #126,generator,honeywell,2011-04-13,2016-01-08,monthly,2020-09-13,operational,v1.0.0
ast-00127,t04,t04 lift #127,lift,daikin,2011-12-22,2015-12-20,quarterly,2024-08-23,operational,v1.0.0
ast-00128,t04,t04 water pump #128,water pump,carrier,2016-08-03,2018-07-31,bi-annual,2021-07-30,operational,v1.0.0
ast-00129,t04,t04 generator #129,generator,schindler,2032-01-01,2008-07-17,annual,2011-01-29,operational,v1.0.0
ast-00130,t04,t04 cctv #130,cctv,cummins,2014-06-20,2016-10-08,quarterly,2017-07-20,operational,v1.0.0
ast-00131,t04,t04 water tank #131,water tank,daikin,2021-04-08,2023-02-04,quarterly,2021-12-02,failed,v1.0.0
ast-00132,t04,t04 water tank #132,water tank,honeywell,2018-03-31,2019-07-11,quarterly,2019-05-29,under maintenance,v1.0.0
ast-00133,t04,t04 water tank #133,water tank,hikvision,2012-09-18,2016-03-12,bi-annual,2018-06-26,operational,v1.0.0
ast-00134,t04,t04 water pump #134,water pump,hikvision,2007-02-25,2012-02-02,quarterly,2024-09-28,operational,v1.0.0
ast-00135,t04,t04 water pump #135,water pump,daikin,2008-01-17,2010-09-14,quarterly,2021-06-03,under maintenance,v1.0.0
ast-00136,t04,t04 cctv #136,cctv,honeywell,2012-05-23,2015-10-10,annual,2022-01-11,operational,v1.0.0
ast-00137,t05,t05 lift #137,lift,hikvision,2018-01-12,2021-01-28,bi-annual,2018-09-21,under maintenance,v1.0.0
ast-00138,t05,t05 fire alarm #138,fire alarm,hikvision,2007-10-04,2009-02-09,bi-annual,2016-04-27,operational,v1.0.0
ast-00139,t05,t05 generator #139,generator,hikvision,2032-01-01,2021-12-07,annual,2024-06-24,operational,v1.0.0
ast-00140,t05,t05 generator #140,generator,honeywell,2012-04-19,2015-10-12,quarterly,2021-06-26,failed,v1.0.0
ast-00141,t05,t05 water tank #141,water tank,honeywell,2020-12-31,2024-02-13,monthly,2022-08-15,operational,v1.0.0
ast-00142,t05,t05 water pump #142,water pump,daikin,2018-12-08,2021-04-01,bi-annual,2024-01-25,operational,v1.0.0
ast-00143,t05,t05 hvac unit #143,hvac unit,hikvision,2021-12-12,2024-08-10,quarterly,2025-06-07,operational,v1.0.0
ast-00144,t05,t05 fire alarm #144,fire alarm,carrier,2022-09-28,2026-07-12,quarterly,2025-06-12,operational,v1.0.0
ast-00145,t05,t05 cctv #145,cctv,schindler,2021-05-13,2023-03-06,monthly,2021-12-31,operational,v1.0.0
ast-00146,t05,t05 cctv #146,cctv,otis,2007-04-04,2011-07-26,monthly,2026-03-17,failed,v1.0.0
ast-00147,t05,t05 hvac unit #147,hvac unit,otis,2020-03-17,2022-08-26,monthly,2025-04-07,operational,v1.0.0
ast-00148,t05,t05 generator #148,generator,honeywell,2010-08-02,2012-07-28,monthly,2023-12-02,operational,v1.0.0
ast-00149,t05,t05 cctv #149,cctv,carrier,2014-01-27,2016-03-23,bi-annual,2019-06-06,operational,v1.0.0
ast-00150,t05,t05 lift #150,lift,hikvision,2020-10-11,2023-08-02,quarterly,2021-05-08,operational,v1.0.0
ast-00151,t05,t05 hvac unit #151,hvac unit,cummins,2010-05-09,2015-04-29,monthly,2017-01-16,operational,v1.0.0
ast-00152,t05,t05 lift #152,lift,hikvision,2011-11-06,2016-08-15,quarterly,2026-02-13,under maintenance,v1.0.0
ast-00153,t05,t05 fire alarm #153,fire alarm,otis,2007-05-04,2009-06-07,bi-annual,2024-06-16,operational,v1.0.0
ast-00154,t05,t05 lift #154,lift,schindler,2019-08-02,2021-10-07,bi-annual,2022-05-23,operational,v1.0.0
ast-00155,t05,t05 water pump #155,water pump,schindler,2018-08-21,2020-03-28,quarterly,2024-02-26,operational,v1.0.0
ast-00156,t05,t05 water pump #156,water pump,carrier,2024-09-10,2027-12-04,bi-annual,2026-04-15,under maintenance,v1.0.0
ast-00157,t05,t05 hvac unit #157,hvac unit,carrier,2008-02-06,2012-03-09,bi-annual,2023-08-10,failed,v1.0.0
ast-00158,t05,t05 lift #158,lift,otis,2015-02-02,2016-10-01,monthly,2024-07-15,operational,v1.0.0
ast-00159,t05,t05 cctv #159,cctv,daikin,2015-11-05,2017-10-30,monthly,2020-01-25,operational,v1.0.0
ast-00160,t05,t05 water pump #160,water pump,daikin,2018-08-23,2021-06-12,quarterly,2021-07-07,operational,v1.0.0
ast-00161,t05,t05 water pump #161,water pump,carrier,2013-10-28,2017-04-03,annual,2016-05-24,operational,v1.0.0
ast-00162,t05,t05 hvac unit #162,hvac unit,carrier,2023-08-05,2027-01-03,quarterly,2023-12-15,operational,v1.0.0
ast-00163,t05,t05 fire alarm #163,fire alarm,daikin,2020-05-06,2023-11-19,annual,2020-08-25,operational,v1.0.0
ast-00164,t05,t05 lift #164,lift,kone,2014-11-22,2016-04-30,annual,2017-10-27,operational,v1.0.0
ast-00165,t05,t05 fire alarm #165,fire alarm,cummins,2032-01-01,2014-12-11,bi-annual,2017-04-17,operational,v1.0.0
ast-00166,t05,t05 hvac unit #166,hvac unit,hikvision,2025-06-01,2030-02-17,annual,2012-10-26,operational,v1.0.0
ast-00167,t05,t05 lift #167,lift,daikin,2022-04-08,2023-07-24,monthly,2023-11-17,operational,v1.0.0
ast-00168,t05,t05 fire alarm #168,fire alarm,cummins,2011-08-12,2013-03-15,bi-annual,2026-02-26,operational,v1.0.0
ast-00169,t05,t05 generator #169,generator,carrier,2008-10-02,2013-08-14,monthly,2021-05-09,operational,v1.0.0
ast-00170,t05,t05 cctv #170,cctv,honeywell,2007-12-14,2009-08-09,quarterly,2021-08-28,operational,v1.0.0
ast-00171,t06,t06 lift #171,lift,carrier,2032-01-01,2021-02-20,monthly,2022-06-11,operational,v1.0.0
ast-00172,t06,t06 fire alarm #172,fire alarm,honeywell,2019-08-22,2021-05-13,annual,2023-09-17,operational,v1.0.0
ast-00173,t06,t06 generator #173,generator,honeywell,2021-01-06,2024-04-21,bi-annual,2024-11-22,operational,v1.0.0
ast-00174,t06,t06 lift #174,lift,daikin,2021-10-29,2025-09-01,quarterly,2026-02-22,operational,v1.0.0
ast-00175,t06,t06 cctv #175,cctv,carrier,2011-07-28,2016-01-17,quarterly,2021-03-29,operational,v1.0.0
ast-00176,t06,t06 generator #176,generator,otis,2017-05-17,2021-05-18,annual,2025-04-19,operational,v1.0.0
ast-00177,t06,t06 generator #177,generator,hikvision,2008-01-15,2011-08-26,quarterly,2017-04-19,operational,v1.0.0
ast-00178,t06,t06 water tank #178,water tank,daikin,2022-03-31,2025-02-12,annual,2026-04-28,failed,v1.0.0
ast-00179,t06,t06 lift #179,lift,cummins,2009-11-24,2013-03-06,monthly,2014-05-18,operational,v1.0.0
ast-00180,t06,t06 generator #180,generator,honeywell,2032-01-01,2027-04-16,quarterly,2026-01-22,operational,v1.0.0
ast-00181,t06,t06 cctv #181,cctv,daikin,2011-02-21,2014-01-22,bi-annual,2024-08-11,operational,v1.0.0
ast-00182,t06,t06 water tank #182,water tank,honeywell,2017-02-21,2018-05-29,quarterly,2021-12-27,operational,v1.0.0
ast-00183,t06,t06 lift #183,lift,kone,2011-10-25,2014-04-16,annual,2023-12-19,operational,v1.0.0
ast-00184,t06,t06 cctv #184,cctv,honeywell,2009-08-21,2011-06-25,monthly,2021-05-24,operational,v1.0.0
ast-00185,t06,t06 lift #185,lift,carrier,2015-05-29,2019-08-29,quarterly,2017-10-12,operational,v1.0.0
ast-00186,t06,t06 generator #186,generator,honeywell,2023-07-08,2026-04-07,bi-annual,2024-04-06,under maintenance,v1.0.0
ast-00187,t06,t06 hvac unit #187,hvac unit,schindler,2018-06-22,2019-08-28,bi-annual,2025-01-20,operational,v1.0.0
ast-00188,t06,t06 water pump #188,water pump,kone,2032-01-01,2026-04-23,bi-annual,2024-04-30,operational,v1.0.0
ast-00189,t06,t06 fire alarm #189,fire alarm,kone,2021-11-11,2026-08-13,quarterly,2025-10-27,operational,v1.0.0
ast-00190,t06,t06 water tank #190,water tank,daikin,2017-03-02,2019-07-30,monthly,2022-06-05,under maintenance,v1.0.0
ast-00191,t06,t06 hvac unit #191,hvac unit,cummins,2015-04-09,2019-12-18,bi-annual,2025-03-27,operational,v1.0.0
ast-00192,t06,t06 generator #192,generator,kone,2023-09-13,2028-06-09,annual,2025-08-03,failed,v1.0.0
ast-00193,t06,t06 lift #193,lift,otis,2009-08-20,2014-04-23,bi-annual,2017-08-24,failed,v1.0.0
ast-00194,t06,t06 water pump #194,water pump,carrier,2024-11-27,2028-08-21,annual,2025-06-18,failed,v1.0.0
ast-00195,t06,t06 fire alarm #195,fire alarm,otis,2023-02-15,2026-02-26,annual,2023-06-10,operational,v1.0.0
ast-00196,t06,t06 water tank #196,water tank,schindler,2032-01-01,2028-03-08,bi-annual,2024-10-25,operational,v1.0.0
ast-00197,t06,t06 cctv #197,cctv,honeywell,2023-06-14,2028-05-16,monthly,2024-09-17,operational,v1.0.0
ast-00198,t06,t06 water pump #198,water pump,cummins,2023-12-28,2025-07-06,quarterly,2024-12-03,under maintenance,v1.0.0
ast-00199,t06,t06 water tank #199,water tank,honeywell,2011-08-04,2015-10-18,quarterly,2012-11-25,failed,v1.0.0
ast-00200,t06,t06 cctv #200,cctv,carrier,2020-01-11,2023-09-23,annual,2025-10-05,operational,v1.0.0
ast-00201,t06,t06 cctv #201,cctv,carrier,2017-09-09,2021-05-19,bi-annual,2025-08-24,operational,v1.0.0
ast-00202,t06,t06 generator #202,generator,daikin,2022-05-14,2025-07-04,bi-annual,2023-09-30,operational,v1.0.0
ast-00203,t06,t06 generator #203,generator,kone,2009-01-17,2012-05-14,quarterly,2016-10-23,failed,v1.0.0
ast-00204,t07,t07 lift #204,lift,otis,2011-02-05,2015-04-09,annual,2016-08-18,operational,v1.0.0
ast-00205,t07,t07 fire alarm #205,fire alarm,daikin,2010-02-10,2013-10-28,monthly,2024-03-20,operational,v1.0.0
ast-00206,t07,t07 generator #206,generator,schindler,2008-06-03,2013-05-13,monthly,2018-09-07,operational,v1.0.0
ast-00207,t07,t07 hvac unit #207,hvac unit,hikvision,2011-05-25,2015-05-17,monthly,2015-01-21,failed,v1.0.0
ast-00208,t07,t07 generator #208,generator,otis,2015-09-12,2020-06-04,annual,2017-11-21,failed,v1.0.0
ast-00209,t07,t07 fire alarm #209,fire alarm,kone,2015-01-29,2019-08-21,monthly,2017-09-14,operational,v1.0.0
ast-00210,t07,t07 water pump #210,water pump,cummins,2021-12-19,2024-04-14,monthly,2025-01-31,under maintenance,v1.0.0
ast-00211,t07,t07 water tank #211,water tank,honeywell,2008-02-24,2012-12-07,annual,2011-05-19,operational,v1.0.0
ast-00212,t07,t07 lift #212,lift,carrier,2011-10-15,2014-07-24,monthly,2017-03-31,operational,v1.0.0
ast-00213,t07,t07 fire alarm #213,fire alarm,cummins,2023-11-13,2028-04-05,quarterly,2025-10-14,operational,v1.0.0
ast-00214,t07,t07 water pump #214,water pump,hikvision,2013-09-08,2016-11-16,quarterly,2019-05-09,operational,v1.0.0
ast-00215,t07,t07 generator #215,generator,carrier,2018-07-23,2019-08-26,quarterly,2026-01-29,operational,v1.0.0
ast-00216,t07,t07 lift #216,lift,otis,2024-02-19,2026-05-25,bi-annual,2024-05-31,operational,v1.0.0
ast-00217,t07,t07 water pump #217,water pump,kone,2018-03-26,2019-04-15,quarterly,2025-02-14,failed,v1.0.0
ast-00218,t07,t07 lift #218,lift,hikvision,2011-06-22,2016-04-03,quarterly,2019-09-29,operational,v1.0.0
ast-00219,t07,t07 lift #219,lift,otis,2011-08-21,2014-07-17,monthly,2016-12-31,operational,v1.0.0
ast-00220,t07,t07 cctv #220,cctv,schindler,2016-11-01,2020-07-12,annual,2019-06-16,under maintenance,v1.0.0
ast-00221,t07,t07 water tank #221,water tank,kone,2016-10-24,2019-08-10,quarterly,2026-02-02,operational,v1.0.0
ast-00222,t07,t07 lift #222,lift,schindler,2009-11-25,2012-07-31,quarterly,2022-11-29,operational,v1.0.0
